GROUP,PROJ
HEADING,PROJ_ID,PROJ_NAME,PROJ_LAT,PROJ_LON,PROJ_ELEV,PROJ_GEOL,PROJ_REM
UNIT,,,deg,deg,m,,
TYPE,ID,X,5DP,5DP,0DP,X,X
DATA,19,"127 Rocking Horse Road",-43.5494,172.7479,1.5,"Dominantly sand of fixed and semi-fixed dunes and beaches - Christchurch Geology - 1992 Geological Maps",
" "
GROUP,MAPF
HEADING,PROJ_ID,MAPF_NAME,MAPF_DESC,FILE_NAME
UNIT,,,,
TYPE,ID,X,X,X
DATA,19,,,
" "
GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,BH_16952,-43.54985146,172.7474683,HDPH,1.61,10.95,2012-12-14,2012-12-14,
DATA,CPT_21618,-43.54990039,172.7474963,SCPG,1.59,10,2013-02-05,2013-02-05,
DATA,CPT_26191,-43.54996631,172.7476382,SCPG,1.86,19.98,2013-11-04,2013-11-04,
DATA,CPT_12775,-43.54969147,172.7479531,SCPG,1.87,15,2012-09-20,2012-09-20,
DATA,CPT_7654,-43.5494718,172.7481235,SCPG,1.76,20.28,2012-09-21,2012-09-21,
DATA,CPT_38127,-43.5493,172.748,SCPG,2.07,20.2,2013-11-11,2013-11-11,
DATA,CPT_36292,-43.549,172.748,SCPG,1.88,20.2,2013-08-27,2013-08-27,
DATA,CPT_36291,-43.5489,172.748,SCPG,1.85,20.1,2013-02-09,2013-02-09,
DATA,CPT_35015,-43.5491696,172.7474703,SCPG,1.8,20,2012-11-22,2012-11-22,
DATA,CPT_35016,-43.54906285,172.7474065,SCPG,1.71,20,2012-11-22,2012-11-22,
DATA,CPT_26192,-43.54989922,172.74792261,SCPG,1.91,20,2013-04-11,2013-04-11,
" "
GROUP,EVNG
HEADING,EVNG_ID,EVNG_NAME,EVNG_ELAT,EVNG_ELON,EVNG_DPTH,EVNG_MAG,EVNG_DTTM,EVNG_REM
UNIT,,,deg,deg,km,,yyyy-mmdd-hhmm,
TYPE,ID,X,5DP,5DP,1DP,2DP,DT,X
DATA,27,"Darfield, New Zealand",-43.615,172.049,10.9,7,2010-0903-1635,
DATA,1,"Christchurch, New Zealand",-43.571,172.703,6,6.2,2011-0221-2351,
" "
GROUP,HDPH
HEADING,LOCA_ID,HDPH_TYPE,HDPH_WAT,HDPH_CREW,HDPH_REM
UNIT,,,m,,
TYPE,ID,X,2DP,X,X
DATA,BH_16952,"PQDT/Auto SPT",1.61,"Tonkin & Taylor Ltd",
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_21618,-,-,1.3,"Panther Slex/Opus",,
DATA,CPT_26191,10,2,1,GCL,AS1289.6.5.1-1999,"Drill Rig Name: Georig 220"
DATA,CPT_12775,10,2.1-2.3,0.9,McMillians,,
DATA,CPT_7654,10,-,1,Geotechnics,,
DATA,CPT_38127,-,2,-,"Coffey Geotechnics",,
DATA,CPT_36292,-,-,-,GEOCIVIL,,
DATA,CPT_36291,-,-,1,"Ground Investigation Ltd",,"Cone area ratio 0.8"
DATA,CPT_35015,10,2,1.12,GCL,AS1289.6.5.1-1999,
DATA,CPT_35016,10,2,0.94,GCL,AS1289.6.5.1-1999,
DATA,CPT_26192,10,2,1.1,GCL,AS1289.6.5.1-1999,"Georig 220"
" "
GROUP,GEOL
HEADING,LOCA_ID,GEOL_TOP,GEOL_BASE,GEOL_GEOL,GEOL_COL,GEOL_DESC
UNIT,,m,m,,,
TYPE,ID,2DP,2DP,X,X,X
DATA,BH_16952,0,0.5,GW,,"Sandy fine to coarse GRAVEL with minor silt, brownish grey, angular to subangular, moist, well graded. Sand is fine to coarse."
DATA,BH_16952,0.5,10.95,SP,,"Fine to medium SAND with some silt, brownish grey, moist, poorly graded."
" "
GROUP,DETL
HEADING,LOCA_ID,DETL_DPTH,DETL_DESC
UNIT,,m,
TYPE,ID,2DP,X
DATA,BH_16952,1.15,"1.15m- grey"
DATA,BH_16952,1.2,"1.2m- minor silt"
DATA,BH_16952,1.5,"1.5m- medium dense, wet."
DATA,BH_16952,3,"3.0m- trace silt, loose"
DATA,BH_16952,3.45,"3.45m- trace broken shells"
DATA,BH_16952,"3.8 - 4.0","3.8 - 4.0m- trace fine to medium gravel, subrounded"
DATA,BH_16952,7.5,"7.5m- medium dense"
DATA,BH_16952,8.7,"8.7m- minor silt"
DATA,BH_16952,9.0,"9.0m- some silt"
" "
GROUP,ISPT
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM
UNIT,,m,cm,,%,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X
DATA,BH_16952,1.5,45,16,84.8,,,
DATA,BH_16952,3,45,9,84.8,,,
DATA,BH_16952,4.5,45,8,84.8,,,
DATA,BH_16952,7.5,45,19,84.8,,,
DATA,BH_16952,9,45,14,84.8,,,
DATA,BH_16952,10.5,45,20,84.8,,,
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_21618,0,-0.01,0,-0.001,
DATA,CPT_21618,0.01,-0.01,0,-0.001,
DATA,CPT_21618,0.02,-0.01,0,-0.001,
DATA,CPT_21618,0.03,-0.01,0,-0.001,
DATA,CPT_21618,0.04,-0.01,0,-0.001,
DATA,CPT_21618,0.05,-0.01,0,-0.001,
DATA,CPT_21618,0.06,0,0,-0.001,
DATA,CPT_21618,0.07,-0.01,0,-0.001,
DATA,CPT_21618,0.08,-0.01,0,-0.001,
DATA,CPT_21618,0.09,-0.01,0,-0.001,
DATA,CPT_21618,0.1,-0.01,0,-0.001,
DATA,CPT_21618,0.11,0,0,-0.001,
DATA,CPT_21618,0.12,-0.01,0,-0.001,
DATA,CPT_21618,0.13,0,0,-0.001,
DATA,CPT_21618,0.14,0,0,-0.001,
DATA,CPT_21618,0.15,0,0,-0.001,
DATA,CPT_21618,0.16,0,0,0,
DATA,CPT_21618,0.17,0.02,0,0,
DATA,CPT_21618,0.18,0.04,0,0,
DATA,CPT_21618,0.19,0.04,0,-0.001,
DATA,CPT_21618,0.2,0.04,0,-0.001,
DATA,CPT_21618,0.21,0.05,0,-0.001,
DATA,CPT_21618,0.22,0.05,0,-0.001,
DATA,CPT_21618,0.23,0.07,0,-0.001,
DATA,CPT_21618,0.24,0.07,0,-0.001,
DATA,CPT_21618,0.25,0.08,0,-0.001,
DATA,CPT_21618,0.26,0.08,0,-0.001,
DATA,CPT_21618,0.27,0.08,0,0,
DATA,CPT_21618,0.28,0.08,0,0,
DATA,CPT_21618,0.29,0.12,0,0,
DATA,CPT_21618,0.3,0.12,0,0,
DATA,CPT_21618,0.31,0.13,0,0,
DATA,CPT_21618,0.32,0.16,0,-0.001,
DATA,CPT_21618,0.33,0.16,0,-0.001,
DATA,CPT_21618,0.34,0.16,0,-0.001,
DATA,CPT_21618,0.35,0.14,0,-0.001,
DATA,CPT_21618,0.36,0.13,0,0,
DATA,CPT_21618,0.37,0.13,0,0,
DATA,CPT_21618,0.38,0.14,0,0,
DATA,CPT_21618,0.39,0.12,0,0,
DATA,CPT_21618,0.4,0.13,0,0,
DATA,CPT_21618,0.41,0.1,0,0,
DATA,CPT_21618,0.42,0.08,0,0,
