GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_12775,-43.54969147,172.7479531,SCPG,1.87,15,2012-09-20,2012-09-20,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_12775,10,2.1-2.3,0.9,McMillians,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_12775,0,0,0,,
DATA,CPT_12775,0.01,0.29,0,,
DATA,CPT_12775,0.02,0.53,0,,
DATA,CPT_12775,0.03,0.69,0,,
DATA,CPT_12775,0.04,0.85,0,,
DATA,CPT_12775,0.05,1.11,0,,
DATA,CPT_12775,0.06,1.24,0,,
DATA,CPT_12775,0.07,1.41,0,,
DATA,CPT_12775,0.08,1.43,0,,
DATA,CPT_12775,0.09,1.48,0,,
DATA,CPT_12775,0.1,1.46,0,,
DATA,CPT_12775,0.11,1.56,0,,
DATA,CPT_12775,0.12,1.68,0,,
DATA,CPT_12775,0.13,1.83,0,,
DATA,CPT_12775,0.14,2.1,0,,
DATA,CPT_12775,0.15,2.27,0,,
DATA,CPT_12775,0.16,2.43,0,,
DATA,CPT_12775,0.17,2.58,0,,
DATA,CPT_12775,0.18,2.68,0,,
DATA,CPT_12775,0.19,2.77,0,,
DATA,CPT_12775,0.2,2.8533,0,,
DATA,CPT_12775,0.21,2.9367,0,,
DATA,CPT_12775,0.22,3.02,0,,
