GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_26191,-43.54996631,172.7476382,SCPG,1.86,19.98,2013-11-04,2013-11-04,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_26191,10,2,1,GCL,AS1289.6.5.1-1999,"Drill Rig Name: Georig 220"
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_26191,0,0.29,0.0001,0.0009,
DATA,CPT_26191,0.02,1.565,0.0002,0.0034,
DATA,CPT_26191,0.04,1.925,0.0041,0.0012,
DATA,CPT_26191,0.06,1.953,0.0041,0.0012,
DATA,CPT_26191,0.08,2.039,0.0097,0,
DATA,CPT_26191,0.1,2.101,0.0097,0,
DATA,CPT_26191,0.12,2.221,0.0128,-0.001,
DATA,CPT_26191,0.14,2.221,0.0137,-0.0021,
DATA,CPT_26191,0.16,2.147,0.0168,-0.0001,
DATA,CPT_26191,0.18,2.147,0.018,-0.0015,
DATA,CPT_26191,0.2,2.47,0.0166,-0.0022,
DATA,CPT_26191,0.22,2.679,0.0164,-0.0021,
DATA,CPT_26191,0.24,2.883,0.0165,-0.0014,
DATA,CPT_26191,0.26,3.078,0.0164,-0.0009,
DATA,CPT_26191,0.28,3.389,0.0161,-0.0004,
DATA,CPT_26191,0.3,3.621,0.015,-0.0002,
DATA,CPT_26191,0.32,3.965,0.0163,0,
