GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_26192,-43.54989922,172.74792261,SCPG,1.91,20,2013-04-11,2013-04-11,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_26192,10,2,1.1,GCL,AS1289.6.5.1-1999,"Georig 220"
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_26192,0,0.513,0.0006,0,
DATA,CPT_26192,0.02,2.105,0.0008,0.0002,
DATA,CPT_26192,0.04,3.073,0.005,0.003,
DATA,CPT_26192,0.06,3.88,0.0096,0.0023,
DATA,CPT_26192,0.08,4.206,0.0143,0.0019,
DATA,CPT_26192,0.1,4.107,0.0198,0.001,
DATA,CPT_26192,0.12,3.862,0.0222,0.0021,
DATA,CPT_26192,0.14,3.837,0.0222,0.0021,
DATA,CPT_26192,0.16,3.959,0.0279,0.0046,
DATA,CPT_26192,0.18,4.196,0.0279,0.0046,
DATA,CPT_26192,0.2,4.321,0.0282,0.0035,
DATA,CPT_26192,0.22,4.421,0.0281,0.0029,
DATA,CPT_26192,0.24,4.505,0.028,0.0025,
DATA,CPT_26192,0.26,4.5,0.028,0.0025,
DATA,CPT_26192,0.28,4.421,0.0295,0.0013,
DATA,CPT_26192,0.3,4.303,0.0307,0.0004,
DATA,CPT_26192,0.32,4.262,0.031,-0.0001,
