GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_36291,-43.5489,172.748,SCPG,1.85,20.1,2013-02-09,2013-02-09,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_36291,-,-,1,"Ground Investigation Ltd",,"Cone area ratio 0.8"
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_36291,0,0.1685,0,-0.0001,
DATA,CPT_36291,0.01,0.2856,0,0.0009,
DATA,CPT_36291,0.02,0.3624,0,0.0027,
DATA,CPT_36291,0.03,0.4432,0.0007,0.0067,
DATA,CPT_36291,0.04,0.7138,0.0014,0.0058,
DATA,CPT_36291,0.05,1.6471,0.0029,0.0014,
DATA,CPT_36291,0.06,1.6471,0.0058,0.0014,
DATA,CPT_36291,0.07,2.956,0.0116,0.0009,
DATA,CPT_36291,0.08,3.2873,0.013,0.0006,
DATA,CPT_36291,0.09,4.0751,0.0144,0.0005,
DATA,CPT_36291,0.1,3.7074,0.0198,0.0005,
DATA,CPT_36291,0.11,3.9296,0.0254,0.0005,
DATA,CPT_36291,0.12,3.9943,0.0275,0.0007,
DATA,CPT_36291,0.13,4.5033,0.0279,0.0003,
DATA,CPT_36291,0.14,4.5599,0.0252,0.0003,
DATA,CPT_36291,0.15,4.5639,0.0225,0.0003,
DATA,CPT_36291,0.16,4.5679,0.0228,0.0003,
