GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_36292,-43.549,172.748,SCPG,1.88,20.2,2013-08-27,2013-08-27,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_36292,-,-,-,GEOCIVIL,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_36292,0,0.6041,0,-0.0017,
DATA,CPT_36292,0.01,4.5498,0,-0.0049,
DATA,CPT_36292,0.02,10.165,0.0002,0.0019,
DATA,CPT_36292,0.03,13.092,0.0004,0.0004,
DATA,CPT_36292,0.04,12.824,0.0008,0.0004,
DATA,CPT_36292,0.05,7.4854,0.0016,0.0004,
DATA,CPT_36292,0.06,6.5779,0.0031,0.0006,
DATA,CPT_36292,0.07,6.5937,0.0062,0.0009,
DATA,CPT_36292,0.08,6.4358,0.0096,0.0016,
DATA,CPT_36292,0.09,6.3816,0.011,0.0034,
DATA,CPT_36292,0.1,6.361,0.0112,0.0016,
DATA,CPT_36292,0.11,6.3758,0.0114,0.0009,
DATA,CPT_36292,0.12,6.3905,0.0116,0.0006,
DATA,CPT_36292,0.13,6.5148,0.0118,0.0005,
DATA,CPT_36292,0.14,6.4516,0.0138,0.0003,
DATA,CPT_36292,0.15,6.4787,0.0275,0.0004,
DATA,CPT_36292,0.16,6.5058,0.0412,0.0002,
