GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_38127,-43.5493,172.748,SCPG,2.07,20.2,2013-11-11,2013-11-11,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_38127,-,2,-,"Coffey Geotechnics",,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_38127,0.01,0.11,0,0.81,
DATA,CPT_38127,0.02,1.19,2.26,7.21,
DATA,CPT_38127,0.03,1.93,0.78,5.59,
DATA,CPT_38127,0.04,5.34,1.64,13.44,
DATA,CPT_38127,0.05,7.5,2.17,11.45,
DATA,CPT_38127,0.06,12.15,4.87,9.74,
DATA,CPT_38127,0.07,13.85,5.49,7.03,
DATA,CPT_38127,0.08,11.26,3.88,15.15,
DATA,CPT_38127,0.09,15.58,29.17,11.81,
DATA,CPT_38127,0.1,16.42,59.6,-1.53,
DATA,CPT_38127,0.11,16.02,30.53,0.09,
DATA,CPT_38127,0.12,15.87,61.03,-3.43,
DATA,CPT_38127,0.13,15.4,37.57,1.53,
DATA,CPT_38127,0.14,11.7,28.36,0.09,
DATA,CPT_38127,0.15,9.7,13.84,2.89,
DATA,CPT_38127,0.16,7.11,50.48,-0.63,
DATA,CPT_38127,0.17,7.6,90.63,0.36,
DATA,CPT_38127,0.18,8.62,72.91,0.63,
DATA,CPT_38127,0.19,9.34,73.91,0.27,
