GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_7654,-43.5494718,172.7481235,SCPG,1.76,20.28,2012-09-21,2012-09-21,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_7654,10,-,1,Geotechnics,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_7654,0.02,1.117,0.0001,0.0088,
DATA,CPT_7654,0.04,1.685,0.0001,-0.0007,
DATA,CPT_7654,0.06,1.685,0.0004,-0.0016,
DATA,CPT_7654,0.08,1.643,0.0011,-0.0024,
DATA,CPT_7654,0.1,1.713,0.0022,-0.0012,
DATA,CPT_7654,0.12,1.821,0.0022,-0.0012,
DATA,CPT_7654,0.14,2.006,0.0035,0.0011,
DATA,CPT_7654,0.16,2.006,0.0035,0.0011,
DATA,CPT_7654,0.18,2.289,0.0035,0.0004,
DATA,CPT_7654,0.2,2.41,0.0035,-0.0003,
DATA,CPT_7654,0.22,2.41,0.0034,-0.0013,
DATA,CPT_7654,0.24,2.495,0.0034,-0.0016,
DATA,CPT_7654,0.26,2.513,0.0035,-0.002,
DATA,CPT_7654,0.28,2.503,0.0037,-0.0022,
DATA,CPT_7654,0.3,2.488,0.0037,-0.0022,
DATA,CPT_7654,0.32,2.457,0.0042,-0.003,
DATA,CPT_7654,0.34,2.446,0.0042,-0.003,
