GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_44806,-43.47876847,172.7112879,SCPG,,20.13,11/12/2013,11/12/2013,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_44806,10,2,,,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_44806,0,0,0,0,
DATA,CPT_44806,0.01,0.5985,0,-0.0002,
DATA,CPT_44806,0.02,1.1211,0.0002,0.0007,
DATA,CPT_44806,0.03,1.1548,0.0004,0.0017,
DATA,CPT_44806,0.04,1.2475,0.0008,0.0002,
DATA,CPT_44806,0.05,1.3402,0.0017,-0.0002,
DATA,CPT_44806,0.06,1.6142,0.0034,-0.0009,
DATA,CPT_44806,0.07,1.8207,0.0067,-0.0016,
DATA,CPT_44806,0.08,1.9977,0.0115,-0.0017,
DATA,CPT_44806,0.09,2.3349,0.0125,-0.0019,
DATA,CPT_44806,0.1,2.495,0.0134,-0.0017,
DATA,CPT_44806,0.11,2.7479,0.0146,-0.0017,
DATA,CPT_44806,0.12,3.064,0.0157,-0.0012,
DATA,CPT_44806,0.13,3.123,0.0169,-0.0016,
DATA,CPT_44806,0.14,3.3464,0.0181,-0.0014,
DATA,CPT_44806,0.15,3.6625,0.0206,-0.0023,
DATA,CPT_44806,0.16,4.0671,0.022,-0.0017,
