GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_TT2724,-43.47914583,172.7099835,SCPG,3.66,20,2-Jul-12,2-Jul-12,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_TT2724,10,2,2,,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_TT2724,0.3,0,0,0,
DATA,CPT_TT2724,0.32,12.83,0.057,-0.002,
DATA,CPT_TT2724,0.34,13.193,0.059,-0.0019,
DATA,CPT_TT2724,0.36,13.36,0.062,-0.0016,
DATA,CPT_TT2724,0.38,13.351,0.061,-0.0014,
DATA,CPT_TT2724,0.4,13.425,0.063,-0.0012,
DATA,CPT_TT2724,0.42,13.481,0.066,-0.0013,
DATA,CPT_TT2724,0.44,13.344,0.069,-0.0013,
DATA,CPT_TT2724,0.46,13.132,0.071,-0.0015,
DATA,CPT_TT2724,0.48,12.862,0.075,-0.002,
DATA,CPT_TT2724,0.5,12.602,0.076,-0.0022,
DATA,CPT_TT2724,0.52,12.156,0.077,-0.0023,
DATA,CPT_TT2724,0.54,11.926,0.078,-0.0024,
DATA,CPT_TT2724,0.56,11.68,0.077,-0.003,
DATA,CPT_TT2724,0.58,11.41,0.077,-0.0031,
DATA,CPT_TT2724,0.6,11.151,0.076,-0.0032,
DATA,CPT_TT2724,0.62,10.67,0.075,-0.0034,
