GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,BH_11628,-43.52804925,172.6856633,HDPH,,19.95,19/11/2012,20/11/2012,
" "
GROUP,HDPH
HEADING,LOCA_ID,HDPH_TYPE,HDPH_WAT,HDPH_CREW,HDPH_REM
UNIT,,,m,,
TYPE,ID,X,2DP,X,X
" "
" "
GROUP,GEOL
HEADING,LOCA_ID,GEOL_TOP,GEOL_BASE,GEOL_GEOL,GEOL_COL,GEOL_DESC
UNIT,,m,m,,,
TYPE,ID,2DP,2DP,X,X,X
DATA,BH_11628,0,0.01,,,ASPHALT
DATA,BH_11628,0.01,0.9,,,"GRAVEL FILL"
DATA,BH_11628,0.9,19.5,,,"Fine light brown SAND"
DATA,BH_11628,19.5,19.95,,,
" "
GROUP,DETL
HEADING,LOCA_ID,DETL_DPTH,DETL_DESC
UNIT,,m,
TYPE,ID,2DP,X
DATA,BH_11628,1.5,"-1.50m; grey with depth"
" "
GROUP,ISPT
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM
UNIT,,m,cm,,%,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X
DATA,BH_11628,1.5,30,5,85.4,,,
DATA,BH_11628,10.5,30,20,85.4,,,
DATA,BH_11628,12,30,19,85.4,,,
DATA,BH_11628,13.5,30,15,85.4,,,
DATA,BH_11628,15,30,17,85.4,,,
DATA,BH_11628,16.5,30,27,85.4,,,
DATA,BH_11628,18,30,14,85.4,,,
DATA,BH_11628,19.5,30,15,85.4,,,
DATA,BH_11628,3,30,14,85.4,,,
DATA,BH_11628,4.5,30,15,85.4,,,
DATA,BH_11628,6,30,18,85.4,,,
DATA,BH_11628,7.5,30,20,85.4,,,
DATA,BH_11628,9,30,15,85.4,,,
" "
