GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,BH_37044,-43.52800413,172.6856264,HDPH,3.7,19.95,19/11/2012,20/11/2012,
" "
GROUP,HDPH
HEADING,LOCA_ID,HDPH_TYPE,HDPH_WAT,HDPH_CREW,HDPH_REM
UNIT,,,m,,
TYPE,ID,X,2DP,X,X
DATA,BH_37044,WLS,-,-,
" "
" "
GROUP,GEOL
HEADING,LOCA_ID,GEOL_TOP,GEOL_BASE,GEOL_GEOL,GEOL_COL,GEOL_DESC
UNIT,,m,m,,,
TYPE,ID,2DP,2DP,X,X,X
DATA,BH_37044,0,0.9,,,"Roading aggregate; fine to coarse."
DATA,BH_37044,0.9,2,,,"Fine to medium SAND of alluvial overbank deposits; grey."
DATA,BH_37044,2,19.95,,,"Fine to coarse SAND of dune and beach deposits, with local trace organics."
" "
GROUP,DETL
HEADING,LOCA_ID,DETL_DPTH,DETL_DESC
UNIT,,m,
TYPE,ID,2DP,X
" "
GROUP,ISPT
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM
UNIT,,m,cm,,%,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X
DATA,BH_37044,1.5,30,5,,,,
DATA,BH_37044,10.5,30,20,,,,
DATA,BH_37044,12,30,19,,,,
DATA,BH_37044,13.5,30,15,,,,
DATA,BH_37044,15,30,17,,,,
DATA,BH_37044,16.5,30,27,,,,
DATA,BH_37044,18,30,14,,,,
DATA,BH_37044,19.5,30,15,,,,
DATA,BH_37044,3,30,14,,,,
DATA,BH_37044,4.5,30,15,,,,
DATA,BH_37044,6,30,18,,,,
DATA,BH_37044,7.5,30,20,,,,
DATA,BH_37044,9,30,15,,,,
" "
