GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_15213,-43.528833,172.684808,SCPG,,15,8/08/2011,2011-08-08,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_15213,0,0,0,0,
DATA,CPT_15213,0,0.12196,0,0.000032351,
DATA,CPT_15213,0.01,0.21801,0,-0.00039893,
DATA,CPT_15213,0.02,0.47415,0,-0.00039893,
DATA,CPT_15213,0.03,0.66224,0,-0.00018329,
DATA,CPT_15213,0.04,0.83834,0,-0.00039893,
DATA,CPT_15213,0.05,0.83834,0,0.0011105,
DATA,CPT_15213,0.06,0.87836,0,0.0052077,
DATA,CPT_15213,0.07,1.4627,0.029826,-0.014847,
DATA,CPT_15213,0.08,2.187,0.032011,-0.0088088,
DATA,CPT_15213,0.09,2.9915,0.035134,-0.0040648,
DATA,CPT_15213,0.1,3.6838,0.039818,-0.0038491,
DATA,CPT_15213,0.11,4.5963,0.043201,-0.0062212,
DATA,CPT_15213,0.12,5.7489,0.03784,-0.0032022,
DATA,CPT_15213,0.13,6.3892,0.043253,-0.002124,
DATA,CPT_15213,0.14,6.6414,0.047989,-0.002124,
DATA,CPT_15213,0.15,6.8014,0.051267,-0.0057899,
DATA,CPT_15213,0.16,7.0055,0.056263,-0.0053586,
