GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_15559,-43.528001,172.685153,SCPG,3.54,10,17/01/2013,17/01/2013,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_15559,0,0,0,0,
DATA,CPT_15559,0.01,0,0,0,
DATA,CPT_15559,0.02,0,0,0,
DATA,CPT_15559,0.03,0,0,0,
DATA,CPT_15559,0.04,0,0,0,
DATA,CPT_15559,0.05,0,0,0,
DATA,CPT_15559,0.06,0,0,0,
DATA,CPT_15559,0.07,0.01,0,0,
DATA,CPT_15559,0.08,0,0,0,
DATA,CPT_15559,0.09,0.02,0,0.001,
DATA,CPT_15559,0.1,0.03,0,0,
DATA,CPT_15559,0.11,0.06,0,-0.001,
DATA,CPT_15559,0.12,0.08,0.001,0.001,
DATA,CPT_15559,0.13,0.09,0.001,0.004,
DATA,CPT_15559,0.14,0.09,0.001,0.004,
DATA,CPT_15559,0.15,0.12,0.001,0.004,
DATA,CPT_15559,0.16,0.12,0.001,0.004,
DATA,CPT_15559,0.17,0.18,0.002,0.005,
DATA,CPT_15559,0.18,0.24,0.001,0.003,
DATA,CPT_15559,0.19,0.27,0.001,-0.002,
DATA,CPT_15559,0.2,0.3,0.001,-0.002,
DATA,CPT_15559,0.21,0.3,0.001,-0.002,
