GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_29665,-43.528056,172.684406,SCPG,,15,25/09/2013,25/09/2013,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_29665,10,,,,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_29665,0.01,1.12,0.007,0.2097,
DATA,CPT_29665,0.02,2,0.007,0.3142,
DATA,CPT_29665,0.03,3.72,0.012,0.3136,
DATA,CPT_29665,0.04,6.47,0.011,0.2878,
DATA,CPT_29665,0.05,7.24,0.014,0.2907,
DATA,CPT_29665,0.06,7.47,0.036,0.2746,
DATA,CPT_29665,0.07,7.1,0.035,0.2323,
DATA,CPT_29665,0.08,6.37,0.031,0.2093,
DATA,CPT_29665,0.09,5.48,0.032,0.1828,
DATA,CPT_29665,0.1,4.81,0.034,0.1668,
DATA,CPT_29665,0.11,4.72,0.042,0.1577,
DATA,CPT_29665,0.12,4.76,0.043,0.1488,
DATA,CPT_29665,0.13,4.7,0.046,0.1432,
DATA,CPT_29665,0.14,4.45,0.048,0.1344,
DATA,CPT_29665,0.15,4.27,0.05,0.1269,
DATA,CPT_29665,0.16,3.79,0.051,0.122,
DATA,CPT_29665,0.17,3.66,0.053,0.1176,
DATA,CPT_29665,0.18,3.46,0.053,0.1118,
DATA,CPT_29665,0.19,3.3,0.058,0.1062,
