GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT1,32.969527,-115.552276,SCPG,-45,10.8,2003-10-16,2003-10-16,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT1,-,-,-,,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT1,0.05,9.16,0.0627,0.0008,
DATA,CPT1,0.1,11.33,0.0813,-0.0026,
DATA,CPT1,0.15,6.72,0.1155,-0.0006,
DATA,CPT1,0.2,4.81,0.1591,-0.0036,
DATA,CPT1,0.25,4.3,0.1373,-0.0024,
DATA,CPT1,0.3,6.5,0.1298,0.0087,
DATA,CPT1,0.35,7.34,0.1247,-0.0171,
DATA,CPT1,0.4,6.87,0.1522,-0.0336,
DATA,CPT1,0.45,4.85,0.1497,-0.0509,
DATA,CPT1,0.5,3.86,0.1383,-0.0595,
DATA,CPT1,0.55,6.49,0.1726,-0.0244,
DATA,CPT1,0.6,14.31,0.189,-0.035,
DATA,CPT1,0.65,13.95,0.2136,-0.0508,
DATA,CPT1,0.7,12.07,0.2182,-0.0521,
DATA,CPT1,0.75,9.16,0.2163,-0.032,
DATA,CPT1,0.8,11.77,0.1895,-0.0348,
DATA,CPT1,0.85,10.08,0.1424,-0.0592,
DATA,CPT1,0.9,9.5,0.1122,-0.0448,
DATA,CPT1,0.95,8.19,0.1002,-0.0243,
