GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT2,32.969541,-115.552817,SCPG,-45.7,9.1,2003-10-16,2003-10-16,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT2,-,-,-,,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT2,0.05,1.59,0.0004,-0.0075,
DATA,CPT2,0.1,3.35,0.0001,-0.006,
DATA,CPT2,0.15,5.37,0.0316,-0.0088,
DATA,CPT2,0.2,4,0.0708,-0.0074,
DATA,CPT2,0.25,2.76,0.0957,-0.0099,
DATA,CPT2,0.3,2.11,0.0517,-0.007,
DATA,CPT2,0.35,2.8,0.043,-0.0067,
DATA,CPT2,0.4,1.74,0.0392,-0.039,
DATA,CPT2,0.45,2.47,0.0286,-0.0242,
DATA,CPT2,0.5,10.54,0.0393,-0.0314,
DATA,CPT2,0.55,11.42,0.0634,-0.0347,
DATA,CPT2,0.6,11.15,0.0803,-0.0346,
DATA,CPT2,0.65,11.17,0.0854,-0.0317,
DATA,CPT2,0.7,10.57,0.0947,-0.0306,
DATA,CPT2,0.75,9.82,0.0972,-0.0341,
DATA,CPT2,0.8,8.94,0.0943,-0.0314,
DATA,CPT2,0.85,8.28,0.0899,-0.0299,
DATA,CPT2,0.9,7.17,0.0819,-0.0326,
DATA,CPT2,0.95,6.38,0.0704,-0.0301,
