GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,BH_4945,-43.47920883,172.7100908,HDPH,,19.95,5/07/2012,2012-05-07,
" "
GROUP,HDPH
HEADING,LOCA_ID,HDPH_TYPE,HDPH_WAT,HDPH_CREW,HDPH_REM
UNIT,,,m,,
TYPE,ID,X,2DP,X,X
DATA,BH_4945,Roto-Sonic,2.75,"Tonkin & Taylor Ltd",
" "
" "
GROUP,GEOL
HEADING,LOCA_ID,GEOL_TOP,GEOL_BASE,GEOL_GEOL,GEOL_COL,GEOL_DESC
UNIT,,m,m,,,
TYPE,ID,2DP,2DP,X,X,X
DATA,BH_4945,0,0.3,SP,,TOPSOIL
DATA,BH_4945,0.3,19.95,SP,,"CHRISTCHURCH FORMATION (MARINE/ ESTUARINE)"
" "
GROUP,DETL
HEADING,LOCA_ID,DETL_DPTH,DETL_DESC
UNIT,,m,
TYPE,ID,2DP,X
DATA,BH_4945,1.5,"1.5m- loose."
DATA,BH_4945,2.3,"2.3m- grey."
DATA,BH_4945,3,"3.0m- medium dense."
DATA,BH_4945,10,"Fine to medium SAND with trace silt, grey, medium dense, wet, poorly graded."
DATA,BH_4945,10.95,"10.95m- minor silt."
DATA,BH_4945,15.8,"15.8 to 17.6m- trace broken shells."
DATA,BH_4945,16.5,"16.5m- dense."
DATA,BH_4945,19.8,"End of borehole at 19.95mbgl (target depth)"
" "
GROUP,ISPT
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM
UNIT,,m,cm,,%,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X
DATA,BH_4945,1.5,45,8,84.8,,,
DATA,BH_4945,3,45,11,84.8,,,
DATA,BH_4945,4.5,45,19,84.8,,,
DATA,BH_4945,6,45,17,84.8,,,
DATA,BH_4945,7.5,45,14,84.8,,,
DATA,BH_4945,9,45,18,84.8,,,
DATA,BH_4945,10.5,45,19,84.8,,,
DATA,BH_4945,12,45,27,84.8,,,
DATA,BH_4945,13.5,45,30,84.8,,,
DATA,BH_4945,15,45,25,84.8,,,
DATA,BH_4945,16.5,45,31,84.8,,,
DATA,BH_4945,18,45,39,84.8,,,
" "
