GROUP,SAMP
HEADING,LOCA_ID,SAMP_ID,SAMP_TYPE,SAMP_TOP,SAMP_BASE,SAMP_SDIA,SAMP_DTIM,SAMP_DESC,SAMP_REM
UNIT,,,,m,m,mm,yyyy-mm-dd,,
TYPE,ID,ID,X,2DP,2DP,1DP,DT,X,X
DATA,BH_4945,WQP-POD02-BH002-001,BAG,4,4.1,,28/08/2012,,
DATA,BH_4945,WQP-POD02-BH002-002,BAG,7.2,7.3,,28/08/2012,,
DATA,BH_4945,WQP-POD02-BH002-003,BAG,9.5,9.6,,28/08/2012,,
DATA,BH_4945,WQP-POD02-BH002-004,BAG,12.45,12.55,,28/08/2012,,
DATA,BH_4945,WQP-POD02-BH002-005,BAG,17,17.1,,28/08/2012,,
" "
GROUP,LABG
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,SPEC_TOP,SPEC_BASE,LABG_CREW,LABG_REM
UNIT,,,,m,m,,
TYPE,ID,ID,X,2DP,2DP,X,X
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,4,4.1,,
DATA,BH_4945,WQP-POD02-BH002-002,WQP-POD02-BH002-002,7.2,7.3,,
DATA,BH_4945,WQP-POD02-BH002-003,WQP-POD02-BH002-003,9.5,9.6,,
DATA,BH_4945,WQP-POD02-BH002-004,WQP-POD02-BH002-004,12.45,12.55,,
DATA,BH_4945,WQP-POD02-BH002-005,WQP-POD02-BH002-005,17,17.1,,
" "
" "
GROUP,INDX
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,INDX_BDEN,INDX_DDEN,INDX_PDEN,INDX_MC,INDX_LL,INDX_PL,INDX_PI,INDX_PIST,INDX_REM
UNIT,,,,g/cm3,g/cm3,g/cm3,%,%,%,%,,
TYPE,ID,ID,X,2DP,2DP,2DP,2DP,1DP,1DP,1DP,X,X
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,,,,22.8,,,,,
DATA,BH_4945,WQP-POD02-BH002-002,WQP-POD02-BH002-002,,,,22.8,,,,,
DATA,BH_4945,WQP-POD02-BH002-003,WQP-POD02-BH002-003,,,,22.6,,,,,
DATA,BH_4945,WQP-POD02-BH002-004,WQP-POD02-BH002-004,,,,22.8,,,,,
DATA,BH_4945,WQP-POD02-BH002-005,WQP-POD02-BH002-005,,,,25.6,,,,,
" "
GROUP,GRAT
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,GRAT_SIZE,GRAT_PERP,GRAT_REM
UNIT,,,,mm,%,
TYPE,ID,ID,X,2DP,2DP,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,200,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,150,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,100,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,75,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,63,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,37.5,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,26.5,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,19,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,13.2,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,9.5,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,4.75,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,2.36,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,1.18,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,0.6,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,0.425,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,0.3,99,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,0.15,27,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,0.063,6,
DATA,BH_4945,WQP-POD02-BH002-002,WQP-POD02-BH002-002,0.075,2.41,
DATA,BH_4945,WQP-POD02-BH002-002,WQP-POD02-BH002-002,0.063,2.38,
DATA,BH_4945,WQP-POD02-BH002-003,WQP-POD02-BH002-003,0.075,3.75,
DATA,BH_4945,WQP-POD02-BH002-003,WQP-POD02-BH002-003,0.063,3.56,
DATA,BH_4945,WQP-POD02-BH002-004,WQP-POD02-BH002-004,0.075,7.79,
DATA,BH_4945,WQP-POD02-BH002-004,WQP-POD02-BH002-004,0.063,7.37,
DATA,BH_4945,WQP-POD02-BH002-005,WQP-POD02-BH002-005,0.075,5.69,
DATA,BH_4945,WQP-POD02-BH002-005,WQP-POD02-BH002-005,0.063,5.45,
" "
" "
