GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_26011,-43.47858625,172.7107025,SCPG,4.62,20,17/04/2013,17/04/2013,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_26011,10,2,0.9,,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_26011,0.01,0,0,0,
DATA,CPT_26011,0.02,0,0,0,
DATA,CPT_26011,0.03,0,0,0,
DATA,CPT_26011,0.04,0,0,0,
DATA,CPT_26011,0.05,0.02,0,0.001,
DATA,CPT_26011,0.06,0.07,0.0006,0.0126,
DATA,CPT_26011,0.07,0.55,0.0022,0.0197,
DATA,CPT_26011,0.08,0.86,0.0026,0.0209,
DATA,CPT_26011,0.09,1.12,0.0028,0.0059,
DATA,CPT_26011,0.1,1.36,0.0036,0.0059,
DATA,CPT_26011,0.11,1.58,0.0045,0.0055,
DATA,CPT_26011,0.12,1.87,0.0059,0.0042,
DATA,CPT_26011,0.13,2.15,0.0076,0.0058,
DATA,CPT_26011,0.14,2.5,0.0098,0.0048,
DATA,CPT_26011,0.15,2.82,0.0115,0.0082,
DATA,CPT_26011,0.16,3.29,0.0141,0.0093,
DATA,CPT_26011,0.17,3.47,0.0153,0.0096,
DATA,CPT_26011,0.18,3.66,0.0168,0.0099,
DATA,CPT_26011,0.19,3.77,0.0194,0.0099,
