GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_15751,-43.392815,172.660087,SCPG,2.43,6.19,12/04/2013,12/04/2013,
" "
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_15751,0,0,0,0,
DATA,CPT_15751,0.01,3.069,0.0003,-0.0013,
DATA,CPT_15751,0.02,3.8782,0.001,-0.0004,
DATA,CPT_15751,0.03,3.2534,0.001,-0.0006,
DATA,CPT_15751,0.04,3.9232,0.001,-0.0008,
DATA,CPT_15751,0.05,3.5635,0.002,-0.0008,
DATA,CPT_15751,0.06,5.0989,0.0022,-0.001,
DATA,CPT_15751,0.07,5.7894,0.0022,-0.001,
DATA,CPT_15751,0.08,7.0781,0.0012,-0.001,
DATA,CPT_15751,0.09,7.0781,0.0024,-0.0012,
DATA,CPT_15751,0.1,7.9771,0.0179,-0.001,
DATA,CPT_15751,0.11,9.1114,0.0271,-0.0013,
DATA,CPT_15751,0.12,9.667,0.0271,-0.0013,
DATA,CPT_15751,0.13,9.667,0.0507,-0.0013,
DATA,CPT_15751,0.14,10.0082,0.0677,-0.0006,
DATA,CPT_15751,0.15,9.5932,0.0677,-0.0006,
DATA,CPT_15751,0.16,9.5932,0.1141,-0.0017,
DATA,CPT_15751,0.17,9.614,0.1447,0.0036,
DATA,CPT_15751,0.18,9.4664,0.1447,0.0036,
DATA,CPT_15751,0.19,10.1742,0.0939,-0.0017,
DATA,CPT_15751,0.2,10.1742,0.0976,0,
DATA,CPT_15751,0.21,9.8537,0.131,-0.0004,
