GROUP,PROJ
HEADING,PROJ_ID,PROJ_NAME,PROJ_LAT,PROJ_LON,PROJ_ELEV,PROJ_GEOL,PROJ_REM
UNIT,,,deg,deg,m,,
TYPE,ID,X,5DP,5DP,0DP,X,X
DATA,21,"Site 58",-43.590068,172.568637,12.5,"Grey river alluvium, comprising gravel, sand and silt, in active floodplains - Christchurch geology 2008",
" "
GROUP,MAPF
HEADING,PROJ_ID,MAPF_NAME,MAPF_DESC,FILE_NAME
UNIT,,,,
TYPE,ID,X,X,X
DATA,21,,,
" "
GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,BH_28216,-43.590478,172.568172,HDPH,12.78,15.45,2013-01-02,2013-01-02,
DATA,CPT_38110,-43.589527,172.569271,SCPG,,2.56,NaN-NaN-NaN,NaN-NaN-NaN,
DATA,CPT_38113,-43.589484,172.568926,SCPG,,4.37,NaN-NaN-NaN,NaN-NaN-NaN,
DATA,CPT_44459,-43.589987,172.568257,SCPG,13.97,13.72,NaN-NaN-NaN,NaN-NaN-NaN,
DATA,CPT_44460,-43.590146,172.56851,SCPG,12.72,2.28,NaN-NaN-NaN,NaN-NaN-NaN,
DATA,CPT_44461,-43.590143,172.568518,SCPG,12.72,13.44,NaN-NaN-NaN,NaN-NaN-NaN,
DATA,CPT_44462,-43.590219,172.568666,SCPG,12.93,15.3,NaN-NaN-NaN,NaN-NaN-NaN,
DATA,CPT_44551,-43.590277,172.568319,SCPG,12.56,13.74,NaN-NaN-NaN,NaN-NaN-NaN,
DATA,CPT_55549,-43.590217,172.569227,SCPG,,15.23,NaN-NaN-NaN,NaN-NaN-NaN,
" "
GROUP,EVNG
HEADING,EVNG_ID,EVNG_NAME,EVNG_ELAT,EVNG_ELON,EVNG_DPTH,EVNG_MAG,EVNG_DTTM,EVNG_REM
UNIT,,,deg,deg,km,,yyyy-mmdd-hhmm,
TYPE,ID,X,5DP,5DP,1DP,2DP,DT,X
DATA,27,"Darfield, New Zealand",-43.615,172.049,10.9,7,2010-0903-1635,
DATA,1,"Christchurch, New Zealand",-43.571,172.703,6,6.2,2011-0221-2351,
" "
GROUP,HDPH
HEADING,LOCA_ID,HDPH_TYPE,HDPH_WAT,HDPH_CREW,HDPH_REM
UNIT,,,m,,
TYPE,ID,X,2DP,X,X
DATA,BH_28216,RO,0.8,"Golder Associates (NZ) Ltd.",
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_44459,10,1.8,0.8,,,
DATA,CPT_44460,10,0.8,0.8,,,
DATA,CPT_44461,10,1.6,0.9,,,
DATA,CPT_44462,10,1.9,1.45,,,
DATA,CPT_44551,10,1.6,0.85,,,
" "
GROUP,GEOL
HEADING,LOCA_ID,GEOL_TOP,GEOL_BASE,GEOL_GEOL,GEOL_COL,GEOL_DESC
UNIT,,m,m,,,
TYPE,ID,2DP,2DP,X,X,X
DATA,BH_28216,0,0.2,,,"Organic SILT; black. Dry to moist; low plasticity; organics, rootlets."
DATA,BH_28216,0.2,0.5,,,"Silty fine SAND; brown with orange mottling. Dry; poorly graded; low plasticity."
DATA,BH_28216,0.5,0.75,,,"Fine SAND with minor silt; brown. Moist; poorly graded."
DATA,BH_28216,0.75,1,,,"Fine to medium SAND with some silt; grey. Very loose; wet; poorly graded."
DATA,BH_28216,1,2.1,,,"Trace organics below 1.0 m."
DATA,BH_28216,10.25,11.2,,,"Fine to coarse SAND; grey. Loose; wet; poorly graded."
DATA,BH_28216,11.2,12,,,"SILT with wood fragments; blackish brown.  Stiff to very stiff, wet; low plasticity."
DATA,BH_28216,12,12.45,,,WOOD
DATA,BH_28216,12.45,13.6,,,"SILT with wood fragments; blackish brown.  Stiff to very stiff, wet; low plasticity."
DATA,BH_28216,13.6,15,,,"Sandy fine to coarse GRAVEL; grey. Very dense; moist; well graded; sub-angular to rounded; sand is fine to coarse."
DATA,BH_28216,15,15.45,,,"Minor coarse sand, orangy brown below 15.0 m."
DATA,BH_28216,2.1,4.35,,,"SILT with minor sand and trace organics; grey. Soft; wet; low plasticity; sand, fine; organics, rootlets."
DATA,BH_28216,4.35,5,,,"Fine to medium SAND with some silt; grey. Loose; wet; poorly graded."
DATA,BH_28216,5,5.45,,,"Sandy SILT; grey. Very soft to soft; wet; low plasticity."
DATA,BH_28216,5.45,7,,,"SILT with trace organics; grey. Very soft; wet; high plasticity; organics, wood."
DATA,BH_28216,7,7.8,,,"becoming firm and greenish grey with minor shell fragments below 7.0 m."
DATA,BH_28216,7.8,8.9,,,"Fine to medium SAND with minor silt; grey. Medium dense; wet; poorly graded."
DATA,BH_28216,8.9,9.6,,,"SILT with trace sand and trace organics; grey. Soft; wet; low plasticity; organics rootlets."
DATA,BH_28216,9.6,10.25,,,"WOOD with minor silt; brown. Hard; wet; low plasticity"
" "
GROUP,ISPT
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM
UNIT,,m,cm,,%,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X
DATA,BH_28216,1,30,2,,,,
DATA,BH_28216,10,30,12,,,,
DATA,BH_28216,11,30,7,,,,
DATA,BH_28216,12,30,25,,,,
DATA,BH_28216,13,30,9,,,,
DATA,BH_28216,14,19,51,,,,
DATA,BH_28216,15,30,52,,,,
DATA,BH_28216,2,30,4,,,,
DATA,BH_28216,3,30,2,,,,
DATA,BH_28216,4,30,6,,,,
DATA,BH_28216,5,30,2,,,,
DATA,BH_28216,6,30,2,,,,
DATA,BH_28216,7,30,8,,,,
DATA,BH_28216,8,30,11,,,,
DATA,BH_28216,9,30,3,,,,
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_38110,0,0.6771,0,0.0003,
DATA,CPT_38110,0.01,1.1542,0,0.0003,
DATA,CPT_38110,0.02,1.4658,0,0.0007,
DATA,CPT_38110,0.03,1.8049,0,0.0011,
DATA,CPT_38110,0.04,2.4634,-0.0001,0.0011,
DATA,CPT_38110,0.05,2.2584,-0.0001,0.0017,
DATA,CPT_38110,0.06,3.122,-0.0002,0.0015,
DATA,CPT_38110,0.07,3.1575,-0.0005,0.0009,
DATA,CPT_38110,0.08,3.398,-0.0005,0.0003,
DATA,CPT_38110,0.09,5.4643,0.0002,0.0002,
DATA,CPT_38110,0.1,9.6206,0.001,0.0002,
DATA,CPT_38110,0.11,9.7232,0.0025,0.0001,
DATA,CPT_38110,0.12,9.319,0.0056,0.0001,
DATA,CPT_38110,0.13,9.1504,0.0118,-0.0011,
DATA,CPT_38110,0.14,8.9818,0.01,-0.0011,
DATA,CPT_38110,0.15,9.6995,0.0174,-0.0012,
DATA,CPT_38110,0.16,8.4258,0.0176,-0.0013,
DATA,CPT_38110,0.17,7.0708,0.0161,-0.0013,
DATA,CPT_38110,0.18,6.4105,0.0147,-0.0014,
DATA,CPT_38110,0.19,6.3376,0.0134,-0.0014,
DATA,CPT_38110,0.2,6.3446,0.013,-0.0014,
DATA,CPT_38110,0.21,6.3516,0.013,-0.0013,
DATA,CPT_38110,0.22,6.3368,0.0131,-0.0015,
DATA,CPT_38110,0.23,6.322,0.0133,-0.0016,
