GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_44460,-43.590146,172.56851,SCPG,12.72,2.28,NaN-NaN-NaN,NaN-NaN-NaN,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_44460,10,0.8,0.8,,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_44460,0,0.396,0.0002,0.0018,
DATA,CPT_44460,0.02,0.784,0.0004,0.0104,
DATA,CPT_44460,0.04,0.811,0.0057,-0.007,
DATA,CPT_44460,0.06,0.779,0.0111,-0.0069,
DATA,CPT_44460,0.08,0.731,0.0185,0.0019,
DATA,CPT_44460,0.1,0.737,0.023,0.0179,
DATA,CPT_44460,0.12,0.82,0.03,0.008,
DATA,CPT_44460,0.14,1.084,0.0294,0.0018,
DATA,CPT_44460,0.16,1.084,0.0306,0.0007,
DATA,CPT_44460,0.18,1.159,0.0298,0,
DATA,CPT_44460,0.2,1.159,0.0358,0.0013,
DATA,CPT_44460,0.22,1.022,0.0372,0.0045,
DATA,CPT_44460,0.24,0.949,0.0337,0.0154,
DATA,CPT_44460,0.26,0.856,0.0323,0.0041,
DATA,CPT_44460,0.28,0.743,0.0323,0.008,
DATA,CPT_44460,0.3,0.692,0.0339,0.0369,
DATA,CPT_44460,0.32,0.658,0.0346,0.0425,
