GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_55549,-43.590217,172.569227,SCPG,,15.23,NaN-NaN-NaN,NaN-NaN-NaN,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_55549,0,0,0,0,
DATA,CPT_55549,0.01,0,0,0,
DATA,CPT_55549,0.02,0,0,0,
DATA,CPT_55549,0.03,0,0,0,
DATA,CPT_55549,0.04,0,0,0,
DATA,CPT_55549,0.05,0,0,0,
DATA,CPT_55549,0.06,0,0,0,
DATA,CPT_55549,0.07,0,0,0,
DATA,CPT_55549,0.08,0,0,0,
DATA,CPT_55549,0.09,0,0,0,
DATA,CPT_55549,0.1,0,0,0,
DATA,CPT_55549,0.11,0,0,0,
DATA,CPT_55549,0.12,0,0,0,
DATA,CPT_55549,0.13,0,0,0,
DATA,CPT_55549,0.14,0,0,0,
DATA,CPT_55549,0.15,0,0,0,
DATA,CPT_55549,0.16,0,0,0,
DATA,CPT_55549,0.17,0,0,0,
DATA,CPT_55549,0.18,0,0,0,
DATA,CPT_55549,0.19,0,0,0,
DATA,CPT_55549,0.2,0,0,0,
DATA,CPT_55549,0.21,0,0,0,
DATA,CPT_55549,0.22,0,0,0,
DATA,CPT_55549,0.23,0,0,0,
DATA,CPT_55549,0.24,0,0,0,
