GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_46716,-43.514395,172.589359,SCPG,,10.62015,2014-04-09,2014-04-09,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_46716,0,0.0975,0,-0.0002,
DATA,CPT_46716,0.01,0.3108,0,-0.0006,
DATA,CPT_46716,0.02,0.5201,0,0.0012,
DATA,CPT_46716,0.03,0.5754,0.0011,0.0061,
DATA,CPT_46716,0.04,0.6347,0.0022,0.0256,
DATA,CPT_46716,0.05,0.6939,0.0044,0.0373,
DATA,CPT_46716,0.06,0.7847,0.0088,0.0552,
DATA,CPT_46716,0.07,0.8124,0.0176,0.0572,
DATA,CPT_46716,0.08,0.8756,0.021,0.0629,
DATA,CPT_46716,0.09,0.9309,0.0224,0.0588,
DATA,CPT_46716,0.09999999,0.9585,0.0247,0.028,
DATA,CPT_46716,0.11,0.9862,0.0272,0.0304,
DATA,CPT_46716,0.12,1.0257,0.0281,0.0114,
DATA,CPT_46716,0.13,1.0573,0.03,0.0116,
DATA,CPT_46716,0.14,1.1047,0.0318,0.0118,
DATA,CPT_46716,0.15,1.1481,0.0331,0.0124,
DATA,CPT_46716,0.16,1.1995,0.0347,0.0187,
DATA,CPT_46716,0.17,1.2311,0.0376,0.0254,
