GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_55641,-43.514,172.588772,SCPG,,13.84,25/02/2015,25/02/2015,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_55641,0.02,,,,
DATA,CPT_55641,0.03,,,,
DATA,CPT_55641,0.04,,,,
DATA,CPT_55641,0.05,,,,
DATA,CPT_55641,0.06,,,,
DATA,CPT_55641,0.07,,,,
DATA,CPT_55641,0.08,,,,
DATA,CPT_55641,0.09,,,,
DATA,CPT_55641,0.1,,,,
DATA,CPT_55641,0.11,,,,
DATA,CPT_55641,0.12,,,,
DATA,CPT_55641,0.13,,,,
DATA,CPT_55641,0.14,,,,
DATA,CPT_55641,0.15,,,,
DATA,CPT_55641,0.16,,,,
DATA,CPT_55641,0.17,,,,
DATA,CPT_55641,0.18,,,,
DATA,CPT_55641,0.19,,,,
DATA,CPT_55641,0.2,,,,
DATA,CPT_55641,0.21,,,,
DATA,CPT_55641,0.22,,,,
DATA,CPT_55641,0.23,,,,
DATA,CPT_55641,0.24,,,,
DATA,CPT_55641,0.25,,,,
DATA,CPT_55641,0.26,,,,
DATA,CPT_55641,0.27,,,,
DATA,CPT_55641,0.28,,,,
DATA,CPT_55641,0.29,,,,
DATA,CPT_55641,0.3,,,,
