GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_5568,-43.514211,172.685731,SCPG,12.78,1.8,2012-08-02,2012-08-02,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_5568,0.4,0.041,0.001,0,
DATA,CPT_5568,0.42,0.025,0.005,-0.0001,
DATA,CPT_5568,0.44,0.176,0.003,0.0002,
DATA,CPT_5568,0.46,2.039,0.003,0.0006,
DATA,CPT_5568,0.48,5.413,0.008,0.0019,
DATA,CPT_5568,0.5,6.749,0.012,0.0024,
DATA,CPT_5568,0.52,7.177,0.021,0.0031,
DATA,CPT_5568,0.54,7.088,0.033,0.0028,
DATA,CPT_5568,0.56,6.833,0.042,0.0023,
DATA,CPT_5568,0.58,6.504,0.048,0.0015,
DATA,CPT_5568,0.6,6.164,0.051,0.0008,
DATA,CPT_5568,0.62,5.729,0.054,-0.0003,
DATA,CPT_5568,0.64,5.407,0.053,-0.0021,
DATA,CPT_5568,0.66,5.152,0.052,-0.0033,
DATA,CPT_5568,0.68,4.943,0.049,-0.0042,
DATA,CPT_5568,0.7,4.777,0.046,-0.0052,
DATA,CPT_5568,0.72,4.652,0.042,-0.0053,
DATA,CPT_5568,0.74,4.658,0.039,-0.0029,
DATA,CPT_5568,0.76,4.742,0.038,-0.0008,
DATA,CPT_5568,0.78,4.943,0.037,0.0002,
DATA,CPT_5568,0.8,5.281,0.037,-0.0021,
DATA,CPT_5568,0.82,5.731,0.038,-0.0046,
DATA,CPT_5568,0.84,8.412,0.066,-0.0066,
DATA,CPT_5568,0.86,11.093,0.089,-0.0122,
DATA,CPT_5568,0.88,14.96,0.093,-0.0082,
DATA,CPT_5568,0.9,16.776,0.088,-0.0052,
DATA,CPT_5568,0.92,21.576,0.084,-0.0032,
DATA,CPT_5568,0.94,28.753,0.15,-0.0022,
DATA,CPT_5568,0.96,30.943,0.207,-0.0012,
DATA,CPT_5568,0.98,29.824,0.211,-0.0011,
DATA,CPT_5568,1,34.486,0.193,-0.0004,
DATA,CPT_5568,1.02,40.281,0.203,0.0002,
DATA,CPT_5568,1.04,40.075,0.157,0.0008,
DATA,CPT_5568,1.06,37.764,0.182,0.001,
DATA,CPT_5568,1.08,36.216,0.188,0.0007,
DATA,CPT_5568,1.1,37.719,0.166,-0.0003,
DATA,CPT_5568,1.12,36.687,0.141,0.001,
DATA,CPT_5568,1.14,35.654,0.131,0.0017,
DATA,CPT_5568,1.16,39.516,0.144,0.0025,
DATA,CPT_5568,1.18,41.446,0.125,0.0017,
DATA,CPT_5568,1.2,39.993,0.141,0.0009,
DATA,CPT_5568,1.22,41.03,0.088,0.0011,
DATA,CPT_5568,1.24,41.873,0.237,-0.0002,
DATA,CPT_5568,1.26,39.487,0.287,-0.0012,
DATA,CPT_5568,1.28,35.283,0.281,0.0013,
DATA,CPT_5568,1.3,35.028,0.259,0.0029,
DATA,CPT_5568,1.32,35.347,0.257,0.0039,
DATA,CPT_5568,1.34,30.474,0.266,0.0053,
DATA,CPT_5568,1.36,33.747,0.267,0.0069,
DATA,CPT_5568,1.38,30.61,0.33,0.0072,
DATA,CPT_5568,1.4,30.464,0.292,0.0071,
DATA,CPT_5568,1.42,30.958,0.32,0.0057,
DATA,CPT_5568,1.44,32.861,0.266,0.0049,
DATA,CPT_5568,1.46,30.606,0.226,0.0034,
DATA,CPT_5568,1.48,30.824,0.203,0.0035,
DATA,CPT_5568,1.5,33.053,0.21,0.0034,
DATA,CPT_5568,1.52,35.028,0.205,0.0009,
DATA,CPT_5568,1.54,34.266,0.149,-0.0003,
DATA,CPT_5568,1.56,33.301,0.167,0.0014,
DATA,CPT_5568,1.58,31.584,0.16,0.0015,
DATA,CPT_5568,1.6,29.575,0.172,-0.0002,
DATA,CPT_5568,1.62,30.678,0.198,-0.0016,
DATA,CPT_5568,1.64,31.781,0.216,-0.0001,
DATA,CPT_5568,1.66,34.012,0.188,-0.0039,
DATA,CPT_5568,1.68,40.158,0.183,-0.0113,
DATA,CPT_5568,1.7,43.291,0.139,-0.0087,
DATA,CPT_5568,1.72,43.694,0.188,-0.0036,
DATA,CPT_5568,1.74,43.862,0.21,-0.0026,
DATA,CPT_5568,1.76,50.127,0.201,-0.0031,
DATA,CPT_5568,1.78,52.602,0.226,-0.0034,
DATA,CPT_5568,1.8,52.602,0.251,-0.0037,
" "
