GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_71921,-43.514054,172.58903,SCPG,,3.27,24/02/2016,24/02/2016,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_71921,15,,,,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_71921,0,0.4269,0,0.0047,
DATA,CPT_71921,0.01,1.429,0,0.0045,
DATA,CPT_71921,0.02,1.9417,0,0.0047,
DATA,CPT_71921,0.03,3.0331,0.0018,0.0053,
DATA,CPT_71921,0.04,3.9963,0.0035,0.0041,
DATA,CPT_71921,0.05,5.1266,0.007,0.003,
DATA,CPT_71921,0.06,6.8473,0.014,0.0026,
DATA,CPT_71921,0.07,7.4959,0.028,0.003,
DATA,CPT_71921,0.08,7.5037,0.0245,0.0032,
DATA,CPT_71921,0.09,7.5736,0.0243,0.0034,
DATA,CPT_71921,0.1,7.6435,0.024,0.0032,
DATA,CPT_71921,0.11,8.8398,0.019,0.0026,
DATA,CPT_71921,0.12,11.252,0.0165,0.003,
DATA,CPT_71921,0.13,9.8303,0.0156,0.003,
DATA,CPT_71921,0.14,6.8162,0.0166,0.0016,
DATA,CPT_71921,0.15,5.8568,0.0175,0.0022,
DATA,CPT_71921,0.16,5.0523,0.0184,0.0026,
DATA,CPT_71921,0.17,4.7176,0.0193,0.0024,
