GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,SASW03,35.637925,139.93356,GPVS,,21,2015-07-13,2015-07-13,
" "
GROUP,GPVS
HEADING,LOCA_ID,LOCA_ID2,LOCA_ID3,GPVS_TYPE,GPVS_CONF,GPVS_CREW,GPVS_REM
UNIT,,,,,,,
TYPE,ID,ID,ID,X,X,X,X
DATA,SASW03,,,GSWD,,"R Kayen / UCLA",
" "
GROUP,LOCF
HEADING,LOCA_ID,LOCF_NAME,LOCF_DESC,FILE_NAME
UNIT,,,,
TYPE,ID,X,X,X
DATA,SASW03,1008UR,"Original report","1008UR URAYASU.xlsx"
" "
GROUP,GSWD
HEADING,LOCA_ID,GSWD_WVLN,GSWD_FREQ,GSWD_PHVL,GPVS_REM
UNIT,,m,HZ,m/s,
TYPE,ID,2DP,3DP,2DP,X
DATA,SASW03,1.53,,106,
DATA,SASW03,1.53,,107,
DATA,SASW03,1.55,,108,
DATA,SASW03,1.6,,109,
DATA,SASW03,1.65,,111,
DATA,SASW03,1.7,,112,
DATA,SASW03,1.7,,114,
DATA,SASW03,1.72,,115,
DATA,SASW03,1.74,,116,
DATA,SASW03,1.76,,117,
DATA,SASW03,1.76,,117,
DATA,SASW03,1.77,,118,
DATA,SASW03,1.78,,118,
DATA,SASW03,1.8,,118,
DATA,SASW03,1.81,,119,
DATA,SASW03,1.83,,119,
DATA,SASW03,1.83,,120,
DATA,SASW03,1.84,,120,
DATA,SASW03,1.86,,121,
DATA,SASW03,1.88,,121,
DATA,SASW03,1.91,,122,
DATA,SASW03,1.91,,123,
DATA,SASW03,1.93,,124,
DATA,SASW03,1.95,,125,
DATA,SASW03,1.98,,125,
DATA,SASW03,2,,126,
DATA,SASW03,2,,125,
DATA,SASW03,2.01,,125,
DATA,SASW03,2.03,,124,
DATA,SASW03,2.04,,123,
DATA,SASW03,2.06,,122,
DATA,SASW03,2.07,,121,
DATA,SASW03,2.07,,120,
DATA,SASW03,2.09,,120,
DATA,SASW03,2.09,,120,
DATA,SASW03,2.09,,120,
DATA,SASW03,2.11,,120,
DATA,SASW03,2.11,,119,
DATA,SASW03,2.13,,118,
DATA,SASW03,2.14,,118,
DATA,SASW03,2.15,,117,
DATA,SASW03,2.16,,117,
DATA,SASW03,2.16,,117,
DATA,SASW03,2.17,,117,
DATA,SASW03,2.19,,118,
DATA,SASW03,2.19,,119,
DATA,SASW03,2.2,,119,
DATA,SASW03,2.2,,120,
DATA,SASW03,2.21,,120,
DATA,SASW03,2.22,,119,
DATA,SASW03,2.22,,119,
DATA,SASW03,2.23,,119,
DATA,SASW03,2.24,,120,
DATA,SASW03,2.24,,120,
DATA,SASW03,2.25,,121,
DATA,SASW03,2.26,,122,
DATA,SASW03,2.27,,123,
DATA,SASW03,2.28,,123,
DATA,SASW03,2.28,,124,
DATA,SASW03,2.29,,123,
DATA,SASW03,2.29,,123,
DATA,SASW03,2.32,,123,
DATA,SASW03,2.32,,122,
DATA,SASW03,2.32,,122,
DATA,SASW03,2.33,,123,
DATA,SASW03,2.34,,123,
DATA,SASW03,2.36,,124,
DATA,SASW03,2.37,,124,
DATA,SASW03,2.38,,125,
DATA,SASW03,2.4,,125,
DATA,SASW03,2.41,,125,
DATA,SASW03,2.43,,126,
DATA,SASW03,2.43,,126,
DATA,SASW03,2.44,,127,
DATA,SASW03,2.45,,128,
DATA,SASW03,2.48,,128,
DATA,SASW03,2.49,,129,
DATA,SASW03,2.49,,130,
DATA,SASW03,2.51,,131,
DATA,SASW03,2.53,,132,
DATA,SASW03,2.55,,132,
DATA,SASW03,2.55,,133,
DATA,SASW03,2.55,,134,
DATA,SASW03,2.56,,135,
DATA,SASW03,2.59,,136,
DATA,SASW03,2.59,,137,
DATA,SASW03,2.62,,137,
DATA,SASW03,2.62,,138,
DATA,SASW03,2.63,,138,
DATA,SASW03,2.65,,138,
DATA,SASW03,2.67,,137,
DATA,SASW03,2.68,,136,
DATA,SASW03,2.68,,136,
DATA,SASW03,2.69,,135,
DATA,SASW03,2.71,,134,
DATA,SASW03,2.75,,134,
DATA,SASW03,2.77,,133,
DATA,SASW03,2.79,,133,
DATA,SASW03,2.82,,132,
DATA,SASW03,2.82,,132,
DATA,SASW03,2.84,,131,
DATA,SASW03,2.86,,131,
DATA,SASW03,2.87,,131,
DATA,SASW03,2.88,,131,
DATA,SASW03,2.9,,132,
DATA,SASW03,2.9,,132,
DATA,SASW03,2.9,,132,
DATA,SASW03,2.91,,133,
DATA,SASW03,2.92,,133,
DATA,SASW03,2.92,,133,
DATA,SASW03,2.93,,134,
DATA,SASW03,2.94,,134,
DATA,SASW03,2.94,,134,
DATA,SASW03,2.95,,134,
DATA,SASW03,2.96,,134,
DATA,SASW03,2.97,,135,
DATA,SASW03,2.97,,135,
DATA,SASW03,2.99,,135,
DATA,SASW03,2.99,,136,
DATA,SASW03,3,,136,
DATA,SASW03,3,,136,
DATA,SASW03,3.01,,136,
DATA,SASW03,3.02,,137,
DATA,SASW03,3.03,,137,
DATA,SASW03,3.03,,137,
DATA,SASW03,3.05,,137,
DATA,SASW03,3.05,,137,
DATA,SASW03,3.05,,138,
DATA,SASW03,3.07,,138,
DATA,SASW03,3.08,,138,
DATA,SASW03,3.12,,138,
DATA,SASW03,3.12,,138,
DATA,SASW03,3.16,,138,
DATA,SASW03,3.19,,139,
DATA,SASW03,3.22,,139,
DATA,SASW03,3.23,,140,
DATA,SASW03,3.27,,141,
DATA,SASW03,3.31,,142,
DATA,SASW03,3.32,,143,
DATA,SASW03,3.35,,144,
DATA,SASW03,3.39,,145,
DATA,SASW03,3.43,,146,
DATA,SASW03,3.44,,147,
DATA,SASW03,3.47,,147,
DATA,SASW03,3.49,,148,
DATA,SASW03,3.5,,148,
DATA,SASW03,3.52,,148,
DATA,SASW03,3.54,,149,
DATA,SASW03,3.55,,149,
DATA,SASW03,3.55,,149,
DATA,SASW03,3.57,,149,
DATA,SASW03,3.58,,149,
DATA,SASW03,3.6,,149,
DATA,SASW03,3.61,,149,
DATA,SASW03,3.63,,149,
DATA,SASW03,3.65,,149,
DATA,SASW03,3.66,,149,
DATA,SASW03,3.67,,149,
DATA,SASW03,3.67,,149,
DATA,SASW03,3.69,,148,
DATA,SASW03,3.7,,147,
DATA,SASW03,3.71,,147,
DATA,SASW03,3.71,,146,
DATA,SASW03,3.72,,146,
DATA,SASW03,3.72,,146,
DATA,SASW03,3.72,,146,
DATA,SASW03,3.72,,147,
DATA,SASW03,3.73,,147,
DATA,SASW03,3.73,,147,
DATA,SASW03,3.73,,148,
DATA,SASW03,3.74,,148,
DATA,SASW03,3.75,,148,
DATA,SASW03,3.76,,148,
DATA,SASW03,3.77,,147,
DATA,SASW03,3.78,,147,
DATA,SASW03,3.79,,147,
DATA,SASW03,3.81,,147,
DATA,SASW03,3.81,,147,
DATA,SASW03,3.82,,147,
DATA,SASW03,3.84,,147,
DATA,SASW03,3.85,,147,
DATA,SASW03,3.86,,147,
DATA,SASW03,3.88,,147,
DATA,SASW03,3.9,,147,
DATA,SASW03,3.9,,147,
DATA,SASW03,3.92,,147,
DATA,SASW03,3.94,,147,
DATA,SASW03,3.95,,147,
DATA,SASW03,3.97,,147,
DATA,SASW03,3.99,,147,
DATA,SASW03,3.99,,147,
DATA,SASW03,4.01,,147,
DATA,SASW03,4.03,,147,
DATA,SASW03,4.03,,147,
DATA,SASW03,4.05,,147,
DATA,SASW03,4.07,,147,
DATA,SASW03,4.09,,148,
DATA,SASW03,4.11,,149,
DATA,SASW03,4.12,,149,
DATA,SASW03,4.16,,150,
DATA,SASW03,4.2,,151,
DATA,SASW03,4.23,,152,
DATA,SASW03,4.27,,152,
DATA,SASW03,4.31,,152,
DATA,SASW03,4.35,,152,
DATA,SASW03,4.39,,151,
DATA,SASW03,4.43,,150,
DATA,SASW03,4.44,,150,
DATA,SASW03,4.44,,149,
DATA,SASW03,4.44,,148,
