GROUP,SAMP
HEADING,LOCA_ID,SAMP_ID,SAMP_TYPE,SAMP_TOP,SAMP_BASE,SAMP_SDIA,SAMP_DTIM,SAMP_DESC,SAMP_REM
UNIT,,,,m,m,mm,yyyy-mm-dd,,
TYPE,ID,ID,X,2DP,2DP,1DP,DT,X,X
DATA,SPT01,SPT-1,Split-barrel,1.15,1.45,100,2014-06-30,"Gravelly Silty Sand",
DATA,SPT01,SPT-2,Split-barrel,2.15,2.45,100,2014-06-30,"Gravelly Silty Sand",
DATA,SPT01,SPT-3,Split-barrel,3.15,3.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-4,Split-barrel,4.15,4.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-5,Split-barrel,5.15,5.45,100,2014-06-30,Clay,
DATA,SPT01,SPT-6,Split-barrel,6.15,6.45,100,2014-06-30,Clay,
DATA,SPT01,SPT-7,Split-barrel,7.15,7.45,100,2014-06-30,"Sandy Clay",
DATA,SPT01,SPT-8,Split-barrel,8.15,8.45,100,2014-06-30,Clay,
DATA,SPT01,SPT-9,Split-barrel,9.15,9.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-10,Split-barrel,10.15,10.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-11,Split-barrel,11.15,11.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-12,Split-barrel,12.15,12.45,100,2014-06-30,"Sandy Silt",
DATA,SPT01,SPT-13,Split-barrel,13.15,13.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-14,Split-barrel,14.15,14.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-15,Split-barrel,15.15,15.45,100,2014-06-30,"Silty Sand",
" "
GROUP,LABG
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,SPEC_TOP,SPEC_BASE,LABG_CREW,LABG_REM
UNIT,,,,m,m,,
TYPE,ID,ID,X,2DP,2DP,X,X
DATA,SPT01,SPT-1,1,1.15,1.45,"Tokyo Soil Research",
" "
GROUP,LABF
HEADING,LOCA_ID,SAMP_ID,LABF_NAME,LABF_DESC,LABF_FILE
UNIT,,,,,
TYPE,ID,,X,X,X
DATA,SPT01,SPT-1,LAB,"Lab test report","ÅiUrayasu SPTÅj.pdf"
" "
GROUP,INDX
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,INDX_BDEN,INDX_DDEN,INDX_PDEN,INDX_MC,INDX_LL,INDX_PL,INDX_PI,INDX_PIST,INDX_REM
UNIT,,,,g/cm3,g/cm3,g/cm3,%,%,%,%,,
TYPE,ID,ID,X,2DP,2DP,2DP,2DP,1DP,1DP,1DP,X,X
DATA,SPT01,SPT-1,1,,,2.704,22.4,31.7,18,13.7,JIS,
" "
GROUP,GRAT
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,GRAT_SIZE,GRAT_PERP,GRAT_REM
UNIT,,,,mm,%,
TYPE,ID,ID,X,2DP,2DP,
DATA,SPT01,SPT-1,1,19,100,
DATA,SPT01,SPT-1,1,9.5,84.7,
DATA,SPT01,SPT-1,1,4.75,82.3,
DATA,SPT01,SPT-1,1,2,80.6,
DATA,SPT01,SPT-1,1,0.85,78.1,
DATA,SPT01,SPT-1,1,0.425,72.4,
DATA,SPT01,SPT-1,1,0.25,56.8,
DATA,SPT01,SPT-1,1,0.106,25.3,
DATA,SPT01,SPT-1,1,0.075,22.7,
DATA,SPT01,SPT-1,1,0.052,20.6,
DATA,SPT01,SPT-1,1,0.037,18.5,
DATA,SPT01,SPT-1,1,0.0235,16.4,
DATA,SPT01,SPT-1,1,0.0137,14.4,
DATA,SPT01,SPT-1,1,0.0097,12.3,
DATA,SPT01,SPT-1,1,0.0069,10.3,
DATA,SPT01,SPT-1,1,0.0035,8.2,
DATA,SPT01,SPT-1,1,0.0014,6.2,
" "
" "
