GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,SPT01,35.637925,139.93356,HDPH,,15.45,2014-06-09,2014-06-09,
" "
GROUP,HDPH
HEADING,LOCA_ID,HDPH_TYPE,HDPH_WAT,HDPH_CREW,HDPH_REM
UNIT,,,m,,
TYPE,ID,X,2DP,X,X
DATA,SPT01,"Rotary wash",1.51,"TK and YH - Jibanshikenjo Co., Ltd.",
" "
GROUP,LOCF
HEADING,LOCA_ID,LOCF_NAME,LOCF_DESC,FILE_NAME
UNIT,,,,
TYPE,ID,X,X,X
DATA,SPT01,SPT01-pdf,"Boring profile, pdf format",CHB-URY-SPT01.pdf
DATA,SPT01,SPT01-csv,"Boring profile, csv format",CHB-URY-SPT01.csv
" "
GROUP,GEOL
HEADING,LOCA_ID,GEOL_TOP,GEOL_BASE,GEOL_GEOL,GEOL_COL,GEOL_DESC
UNIT,,m,m,,,
TYPE,ID,2DP,2DP,X,X,X
DATA,SPT01,0,3,F,,"FILL. SILTY CLAYEY SAND: fine to medium, dark olive gray, very moist. "
DATA,SPT01,3,5,SC,,"SILTY CLAYEY SAND: fine to medium, black, with shells and few traces of organics. "
DATA,SPT01,5,9,C,,"CLAY: high plasticity, black. "
DATA,SPT01,9,11,SM,,"SILTY SAND: fine poorly−graded, black, with shells, plant fragments and trace of light weight porous rocks. "
DATA,SPT01,11,12,SC,,"CLAYEY SAND: fine, black, with shells."
DATA,SPT01,12,13,CM,,"SILTY CLAY: low plasticity, black, slighty sandy. "
DATA,SPT01,13,15.45,SM,,"SILTY SAND: fine, black, moist. @13.3, poorly−graded, with thin layer of weathered rock. "
" "
GROUP,DETL
HEADING,LOCA_ID,DETL_DPTH,DETL_DESC
UNIT,,m,
TYPE,ID,2DP,X
DATA,SPT01,2.3,"very dark gray."
DATA,SPT01,4.3,"with shells."
DATA,SPT01,7.2,"with trace of fine sand."
" "
GROUP,ISPT
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM
UNIT,,m,cm,,%,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X
DATA,SPT01,1.15,30,6,80.5,Semi-automatic,"JIS A 1219",
DATA,SPT01,2.15,30,1,53,Semi-automatic,"JIS A 1219",
DATA,SPT01,3.15,30,2,54,Semi-automatic,"JIS A 1219",
DATA,SPT01,4.15,30,3,68.2,Semi-automatic,"JIS A 1219",
DATA,SPT01,5.15,30,1,,Semi-automatic,"JIS A 1219",
DATA,SPT01,6.15,30,1,,Semi-automatic,"JIS A 1219",
DATA,SPT01,7.15,30,0,,Semi-automatic,"JIS A 1219",
DATA,SPT01,8.15,30,0,,Semi-automatic,"JIS A 1219",
DATA,SPT01,9.15,30,18,74.2,Semi-automatic,"JIS A 1219",
DATA,SPT01,10.15,30,17,77.5,Semi-automatic,"JIS A 1219",
DATA,SPT01,11.15,30,6,81.4,Semi-automatic,"JIS A 1219",
DATA,SPT01,12.15,30,4,82.7,Semi-automatic,"JIS A 1219",
DATA,SPT01,13.15,30,11,77.4,Semi-automatic,"JIS A 1219",
DATA,SPT01,14.15,30,33,79.6,Semi-automatic,"JIS A 1219",
DATA,SPT01,15.15,30,12,81.8,Semi-automatic,"JIS A 1219",
" "
