GROUP,PROJ,,,,,,,,,,,,,,
HEADING,PROJ_ID,PROJ_NAME,PROJ_LAT,PROJ_LON,PROJ_ELEV,PROJ_GEOL,PROJ_REM,,,,,,,,
UNIT,,,deg,deg,m,,,,,,,,,,
TYPE,ID,X,5DP,5DP,0DP,X,X,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,MAPF,,,,,,,,,,,,,,
HEADING,PROJ_ID,MAPF_NAME,MAPF_DESC,FILE_NAME,,,,,,,,,,,
UNIT,,,,,,,,,,,,,,,
TYPE,ID,X,X,X,,,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,LOCA,,,,,,,,,,,,,,
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM,,,,,,
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,,,,,,,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,LOCF,,,,,,,,,,,,,,
HEADING,LOCA_ID,LOCF_NAME,LOCF_DESC,FILE_NAME,,,,,,,,,,,
UNIT,,,,,,,,,,,,,,,
TYPE,ID,X,X,X,,,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,HDPH,,,,,,,,,,,,,,
HEADING,LOCA_ID,HDPH_TYPE,HDPH_WAT,HDPH_LOG,HDPH_CREW,HDPH_CONT,HDPH_REM,,,,,,,,
UNIT,,,m,,,,,,,,,,,,
TYPE,ID,X,2DP,X,X,X,X,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,GEOL,,,,,,,,,,,,,,
HEADING,LOCA_ID,GEOL_TOP,GEOL_BASE,GEOL_DESC,GEOL_GEOL,GEOL_COL,,,,,,,,,
UNIT,,m,m,,,,,,,,,,,,
TYPE,ID,2DP,2DP,X,X,X,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,DETL,,,,,,,,,,,,,,
HEADING,LOCA_ID,DETL_DPTH,DETL_DESC,,,,,,,,,,,,
UNIT,,m,,,,,,,,,,,,,
TYPE,ID,2DP,X,,,,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,ISPT,,,,,,,,,,,,,,
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM,,,,,,,
UNIT,,m,cm,,%,,,,,,,,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,SCPG,,,,,,,,,,,,,,
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_METH,SCPG_CREW,SCPG_CONT,SCPG_REM,,,,,,,
UNIT,,cm2,cm/s,m,,,,,,,,,,,
TYPE,ID,0DP,2DP,2DP,X,X,X,X,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,SCPT,,,,,,,,,,,,,,
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM,,,,,,,,,
UNIT,,m,MPa,MPa,MPa,,,,,,,,,,
TYPE,ID,3DP,4DP,4DP,4DP,X,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,TEPT,,,,,,,,,,,,,,
HEADING,LOCA_ID,TEPT_BASE,TEPT_LOG,TEPT_CREW,TEPT_CONT,TEPT_REM,,,,,,,,,
UNIT,,m,,,,,,,,,,,,,
TYPE,ID,2DP,X,X,X,X,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,SAMP,,,,,,,,,,,,,,
HEADING,LOCA_ID,SAMP_ID,SAMP_TYPE,SAMP_TOP,SAMP_BASE,SAMP_SDIA,SAMP_WHO,SAMP_DTIM,SAMP_DESC,SAMP_REM,,,,,
UNIT,,,,m,m,mm,,yyyy-mm-dd,,,,,,,
TYPE,ID,ID,X,2DP,2DP,1DP,X,DT,X,X,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,LABF,,,,,,,,,,,,,,
HEADING,LOCA_ID,SAMP_ID,LABF_NAME,LABF_DESC,LABF_FILE,,,,,,,,,,
UNIT,,,,,,,,,,,,,,,
TYPE,ID,,X,X,X,,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,LABG,,,,,,,,,,,,,,
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,SPEC_TOP,SPEC_BASE,LABG_LAB,LABG_REM,,,,,,,,
UNIT,,,,m,m,,,,,,,,,,
TYPE,ID,ID,X,2DP,2DP,X,X,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,INDX,,,,,,,,,,,,,,
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,INDX_BDEN,INDX_DDEN,INDX_PDEN,INDX_MC,INDX_LL,INDX_PL,INDX_PI,INDX_PIST,INDX_REM,,,
UNIT,,,,g/cm3,g/cm3,g/cm3,%,%,%,%,,,,,
TYPE,ID,ID,X,2DP,2DP,2DP,2DP,1DP,1DP,1DP,X,X,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,GRAT,,,,,,,,,,,,,,
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,GRAT_SIZE,GRAT_PERP,GRAT_REM,,,,,,,,,
UNIT,,,,mm,%,,,,,,,,,,
TYPE,ID,ID,X,2DP,2DP,,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,OTHR,,,,,,,,,,,,,,
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,OTHR_TYPE,OTHR_LAB,OTHR_REM,OTHR_FILE,,,,,,,,
UNIT,,,,,,,,,,,,,,,
TYPE,ID,ID,X,X,X,X,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,GPVS,,,,,,,,,,,,,,
HEADING,LOCA_ID,LOCA_ID2,LOCA_ID3,GPVS_REF,GPVS_TYPE,GPVS_CONF,GPVS_LOG,GPVS_REM,,,,,,,
UNIT,,,,,,,,,,,,,,,
TYPE,ID,ID,ID,ID,X,X,X,X,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,GSWD,,,,,,,,,,,,,,
HEADING,LOCA_ID,GSWD_WVLN,GSWD_FREQ,GSWD_PHVL,GPVS_REM,,,,,,,,,,
UNIT,,m,HZ,m/s,,,,,,,,,,,
TYPE,ID,2DP,3DP,2DP,X,,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,GSWV,,,,,,,,,,,,,,
HEADING,LOCA_ID,GSWV_TOP,GSWV_BTTM,GSWV_VS,GSWV_REM,,,,,,,,,,
UNIT,,m,m,m/s,,,,,,,,,,,
TYPE,ID,2DP,2DP,1DP,X,,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,GDHL,,,,,,,,,,,,,,
HEADING,LOCA_ID,GDHL_HRDT,GDHL_DPTP,GDHL_DPBS,GDHL_PTTP,GDHL_PTBS,GDHL_STTP,GDHL_STBS,GDHL_VP,GDHL_VS,GDHL_REM,,,,
UNIT,,m,m,m,sec,sec,sec,sec,m/s,m/s,,,,,
TYPE,ID,2DP,2DP,2DP,2DP,2DP,2DP,2DP,1DP,1DP,X,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,GCHL,,,,,,,,,,,,,,
HEADING,LOCA_ID,LOCA_ID2,LOCA_ID3,GCHL_DPTH,GCHL_HR01,GCHL_HR02,GCHL_TP01,GCHL_TP02,GCHL_TS01,GCHL_TS02,GCHL_VP01,GCHL_VP02,GCHL_VS01,GCHL_VS02,GCHL_REM
UNIT,,,,m,m,m,sec,sec,sec,sec,m/s,m/s,m/s,m/s,
TYPE,ID,ID,ID,2DP,2DP,2DP,2DP,2DP,2DP,2DP,1DP,1DP,1DP,1DP,X
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,GSPL,,,,,,,,,,,,,,
HEADING,LOCA_ID,,GSPL_DPTH,GSPL_VP,GSPL_VS,GSPL_REM,,,,,,,,,
UNIT,,,m,m/s,m/s,,,,,,,,,,
TYPE,ID,,2DP,1DP,1DP,X,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,EVNG,,,,,,,,,,,,,,
HEADING,EVNG_ID,EVNG_NAME,EVNG_ELAT,EVNG_ELON,EVNG_DPTH,EVNG_MAG,EVNG_DTTM,EVNG_REM,,,,,,,
UNIT,,,deg,deg,km,,mm-dd-yyyyThh-mm-ss,,,,,,,,
TYPE,ID,X,5DP,5DP,1DP,2DP,DT,X,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,EVNF,,,,,,,,,,,,,,
HEADING,EVNG_ID,EVNF_FNUM,EVNF_STR,EVNF_DIP,EVNF_RAKE,EVNF_LNTH,EVNF_WDTH,EVNF_UCLA,EVNF_UCLO,EVNF_ULCD,,,,,
UNIT,,,deg,deg,deg,km,km,deg,deg,km,,,,,
TYPE,ID,0DP,1DP,1DP,1DP,1DP,1DP,5DP,5DP,1DP,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,FLDP,,,,,,,,,,,,,,
HEADING,EVNG_ID,FLDP_INST,FLDP_LAT,FLDP_LON,FLDP_DPTH,FLDP_DESC,,,,,,,,,
UNIT,,,deg,deg,m,,,,,,,,,,
TYPE,ID,X,5DP,5DP,5DP,X,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,FLDF,,,,,,,,,,,,,,
HEADING,EVNG_ID,FLDF_NAME,FLDF_DESC,FILE_NAME,,,,,,,,,,,
UNIT,,,,,,,,,,,,,,,
TYPE,ID,X,X,X,,,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,FLDO,,,,,,,,,,,,,,
HEADING,EVNG_ID,FLDO_ID,FLDO_OBSV,FLDO_TYPE,FLDO_LAT,FLDO_LON,FLDO_DESC,FLDO_FILE,,,,,,,
UNIT,,,,,deg,deg,,,,,,,,,
TYPE,ID,ID,X,X,5DP,5DP,X,X,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,GRMN,,,,,,,,,,,,,,
HEADING,EVNG_ID,GRMN_IM,GRMN_IMTY,GRMN_METH,GRMN_STDV,GRMN_REM,,,,,,,,,
UNIT,,,,,,,,,,,,,,,
TYPE,ID,X,X,X,X,X,,,,,,,,,
DATA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GROUP,GRMF,,,,,,,,,,,,,,
HEADING,EVNG_ID,GRMF_NAME,GRMF_DESC,FILE_NAME,,,,,,,,,,,
UNIT,,,,,,,,,,,,,,,
TYPE,ID,X,X,X,,,,,,,,,,,
DATA,,,,,,,,,,,,,,,
