GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_35015,0,0,0,0,
DATA,CPT_35015,0.02,0.591,0.0002,0.0113,
DATA,CPT_35015,0.04,0.743,0.0004,-0.0004,
DATA,CPT_35015,0.06,0.779,0.0004,-0.0005,
DATA,CPT_35015,0.08,0.809,0.0011,-0.0001,
DATA,CPT_35015,0.1,0.85,0.0023,-0.0008,
DATA,CPT_35015,0.12,0.917,0.0028,-0.0007,
DATA,CPT_35015,0.14,0.917,0.0048,-0.0008,
DATA,CPT_35015,0.16,0.969,0.0051,-0.0011,
DATA,CPT_35015,0.18,0.969,0.0059,-0.0005,
DATA,CPT_35015,0.2,1.068,0.0068,-0.0006,
DATA,CPT_35015,0.22,1.111,0.008,-0.0007,
DATA,CPT_35015,0.24,1.188,0.0084,-0.0008,
DATA,CPT_35015,0.26,1.305,0.0089,-0.0009,
DATA,CPT_35015,0.28,1.36,0.0093,-0.0007,
DATA,CPT_35015,0.3,1.377,0.0101,-0.0007,
DATA,CPT_35015,0.32,1.356,0.0111,-0.0006,
DATA,CPT_35015,0.34,1.302,0.0125,-0.0007,
DATA,CPT_35015,0.36,1.095,0.0125,-0.0007,
DATA,CPT_35015,0.38,0.984,0.0129,-0.0007,
DATA,CPT_35015,0.4,0.96,0.0132,-0.0006,
DATA,CPT_35015,0.42,0.97,0.0129,0,
DATA,CPT_35015,0.44,1.023,0.0129,-0.0001,
DATA,CPT_35015,0.46,1.103,0.0125,-0.0002,
DATA,CPT_35015,0.48,1.22,0.0092,-0.0004,
DATA,CPT_35015,0.5,1.575,0.0073,-0.0006,
DATA,CPT_35015,0.52,1.575,0.006,0.0001,
DATA,CPT_35015,0.54,1.924,0.0058,-0.0005,
DATA,CPT_35015,0.56,1.924,0.0058,-0.0005,
DATA,CPT_35015,0.58,1.927,0.0092,-0.0005,
