GROUP,PROJ,,,,,,,,,,
HEADING,PROJ_ID,PROJ_NAME,PROJ_LAT,PROJ_LON,PROJ_ELEV,PROJ_GEOL,PROJ_REM,,,,
UNIT,,,deg,deg,m,,,,,,
TYPE,ID,X,5DP,5DP,0DP,X,X,,,,
DATA,3,Site 13 505 Bower Ave,-43.47893333,172.7105194,4.5,Beach sand or river sand dunes - Christchurch Geology 2008,,,,,
 ,,,,,,,,,,,
GROUP,MAPF,,,,,,,,,,
HEADING,PROJ_ID,MAPF_NAME,MAPF_DESC,FILE_NAME,,,,,,,
UNIT,,,,,,,,,,,
TYPE,ID,X,X,X,,,,,,,
DATA,3,,,,,,,,,,
 ,,,,,,,,,,,
GROUP,LOCA,,,,,,,,,,
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM,,
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,,,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X,,
DATA,BH_4945,-43.47920883,172.7100908,HDPH,,19.95,5/07/2012,5/07/2012,,,
DATA,CPT_26000,-43.47843382,172.710421,SCPG,4.99,20,24/04/2013,24/04/2013,,,
DATA,CPT_26009,-43.47839135,172.7106475,SCPG,5.01,20,24/04/2013,24/04/2013,,,
DATA,CPT_26011,-43.47858625,172.7107025,SCPG,4.62,20,17/04/2013,17/04/2013,,,
DATA,CPT_26020,-43.47862994,172.7109213,SCPG,4.61,20,18/04/2013,18/04/2013,,,
DATA,CPT_40592,-43.47876972,172.7098701,SCPG,,20,3/06/2014,3/06/2014,,,
DATA,CPT_44806,-43.47876847,172.7112879,SCPG,,20.13,11/12/2013,11/12/2013,,,
DATA,CPT_55192,-43.47944184,172.7106173,SCPG,,20.22,16/04/2014,16/04/2014,,,
DATA,CPT_TT914,-43.47888547,172.7109618,SCPG,4.13,26.61,7-Jun-11,8-Jun-11,,,
DATA,CPT_TT2724,-43.47914583,172.7099835,SCPG,3.66,20,2-Jul-12,2-Jul-12,,,
,,,,,,,,,,,
GROUP,EVNG,,,,,,,,,,
HEADING,EVNG_ID,EVNG_NAME,EVNG_ELAT,EVNG_ELON,EVNG_DPTH,EVNG_MAG,EVNG_DTTM,EVNG_REM,,,
UNIT,,,deg,deg,km,,yyyy-mmdd-hhmm,,,,
TYPE,ID,X,5DP,5DP,1DP,2DP,DT,X,,,
DATA,6,Darfield (Canterbury),-43.615,172.049,10.9,7,2010-0903-1635,,,,
DATA,8,Christchurch,-43.571,172.703,6,6.2,2011-0221-2351,,,,
DATA,17,Christchurch SE Earthquake 0613,-43.57056,172.7378,7,6,13/06/2011,,,,
DATA,18,Lyttleton Foreshock,-43.48139,172.7994,10,5.8,23/12/2011,,,,
DATA,19,Lyttleton Earthquake,-43.52444,172.7497,7,5.9,23/12/2011,,,,
DATA,20,Valentine&#39;s Day Earthquake,-43.48,172.772,7.6,5.8,2016-0214-0013,,,,
 ,,,,,,,,,,,
GROUP,HDPH,,,,,,,,,,
HEADING,LOCA_ID,HDPH_TYPE,HDPH_WAT,HDPH_CREW,HDPH_REM,,,,,,
UNIT,,,m,,,,,,,,
TYPE,ID,X,2DP,X,X,,,,,,
DATA,BH_4945,Roto-Sonic,2.75,Tonkin & Taylor Ltd,,,,,,,
 ,,,,,,,,,,,
GROUP,SCPG,,,,,,,,,,
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM,,,,
UNIT,,cm2,cm/s,m,,,,,,,
TYPE,ID,0DP,2DP,2DP,X,X,X,,,,
DATA,CPT_26000,10,2,1.9,,,,,,,
DATA,CPT_26009,10,2,2.15,,,,,,,
DATA,CPT_26011,10,2,0.9,,,,,,,
DATA,CPT_26020,10,2,1.45,,,,,,,
DATA,CPT_40592,10,2,1.2,,,,,,,
DATA,CPT_44806,10,2,,,,,,,,
DATA,CPT_55192,10,2,,,,,,,,
DATA,CPT_TT914,10,2,3.3,,,,,,,
DATA,CPT_TT2724,10,2,2,,,,,,,
,,,,,,,,,,,
 ,,,,,,,,,,,
GROUP,GEOL,,,,,,,,,,
HEADING,LOCA_ID,GEOL_TOP,GEOL_BASE,GEOL_GEOL,GEOL_COL,GEOL_DESC,,,,,
UNIT,,m,m,,,,,,,,
TYPE,ID,2DP,2DP,X,X,X,,,,,
DATA,BH_4945,0,0.3,SP,,TOPSOIL,,,,,
DATA,BH_4945,0.3,19.95,SP,,CHRISTCHURCH FORMATION (MARINE/ ESTUARINE),,,,,
 ,,,,,,,,,,,
GROUP,DETL,,,,,,,,,,
HEADING,LOCA_ID,DETL_DPTH,DETL_DESC,,,,,,,,
UNIT,,m,,,,,,,,,
TYPE,ID,2DP,X,,,,,,,,
DATA,BH_4945,1.5,1.5m- loose.,,,,,,,,
DATA,BH_4945,2.3,2.3m- grey.,,,,,,,,
DATA,BH_4945,3,3.0m- medium dense.,,,,,,,,
DATA,BH_4945,10,"Fine to medium SAND with trace silt, grey, medium dense, wet, poorly graded.",,,,,,,,
DATA,BH_4945,10.95,10.95m- minor silt.,,,,,,,,
DATA,BH_4945,15.8,15.8 to 17.6m- trace broken shells.,,,,,,,,
DATA,BH_4945,16.5,16.5m- dense.,,,,,,,,
DATA,BH_4945,19.8,End of borehole at 19.95mbgl (target depth),,,,,,,,
 ,,,,,,,,,,,
GROUP,ISPT,,,,,,,,,,
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM,,,
UNIT,,m,cm,,%,,,,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X,,,
DATA,BH_4945,1.5,45,8,,,,,,,
DATA,BH_4945,3,45,11,,,,,,,
DATA,BH_4945,4.5,45,19,,,,,,,
DATA,BH_4945,6,45,17,,,,,,,
DATA,BH_4945,7.5,45,14,,,,,,,
DATA,BH_4945,9,45,18,,,,,,,
