GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_26009,0.01,0,0,0,
DATA,CPT_26009,0.02,0,0,0,
DATA,CPT_26009,0.03,0,0,0,
DATA,CPT_26009,0.04,0.03,0,0.0002,
DATA,CPT_26009,0.05,0.1,0,0.0013,
DATA,CPT_26009,0.06,0.43,0.0001,0.0046,
DATA,CPT_26009,0.07,0.64,0.0002,0.011,
DATA,CPT_26009,0.08,0.83,0.003,0.0153,
DATA,CPT_26009,0.09,0.84,0.0033,0.0074,
DATA,CPT_26009,0.1,0.86,0.0034,0.0024,
DATA,CPT_26009,0.11,0.9,0.004,0.0002,
DATA,CPT_26009,0.12,0.96,0.0041,0,
DATA,CPT_26009,0.13,1.01,0.0046,0,
DATA,CPT_26009,0.14,1.06,0.0053,-0.0004,
DATA,CPT_26009,0.15,1.18,0.0064,-0.0004,
DATA,CPT_26009,0.16,1.26,0.007,-0.0005,
DATA,CPT_26009,0.17,1.33,0.0077,-0.0005,
DATA,CPT_26009,0.18,1.41,0.0082,-0.0005,
DATA,CPT_26009,0.19,1.57,0.0095,-0.0006,
DATA,CPT_26009,0.2,1.65,0.0099,-0.0005,
DATA,CPT_26009,0.21,1.73,0.0104,-0.0006,
DATA,CPT_26009,0.22,1.82,0.0108,-0.0006,
DATA,CPT_26009,0.23,1.91,0.0112,-0.0007,
DATA,CPT_26009,0.24,2.13,0.0117,-0.0007,
DATA,CPT_26009,0.25,2.26,0.0121,-0.0007,
DATA,CPT_26009,0.26,2.39,0.0125,-0.0007,
DATA,CPT_26009,0.27,2.53,0.0129,-0.0007,
DATA,CPT_26009,0.28,2.82,0.014,-0.0008,
DATA,CPT_26009,0.29,2.97,0.0148,-0.0008,
DATA,CPT_26009,0.3,3.11,0.0156,-0.0008,
DATA,CPT_26009,0.31,3.24,0.0163,-0.0008,
