GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_TT914,0,0.21,0,0,
DATA,CPT_TT914,0.01,0.32,0,0,
DATA,CPT_TT914,0.02,0.36,0,0.001,
DATA,CPT_TT914,0.03,0.36,0,0.001,
DATA,CPT_TT914,0.04,0.13,0,0,
DATA,CPT_TT914,0.05,0.09,0,0,
DATA,CPT_TT914,0.06,0.09,0.006,0,
DATA,CPT_TT914,0.07,0.09,0.012,0,
DATA,CPT_TT914,0.08,0.1,0.011,0,
DATA,CPT_TT914,0.09,0.1,0.011,0,
DATA,CPT_TT914,0.1,0.1,0.001,0,
DATA,CPT_TT914,0.11,0.1,0.001,0,
DATA,CPT_TT914,0.12,0.1,0.001,0,
DATA,CPT_TT914,0.13,0.11,0.001,0,
DATA,CPT_TT914,0.14,0.1,0,0,
DATA,CPT_TT914,0.15,0.11,0,0,
DATA,CPT_TT914,0.16,0.06,0,0,
DATA,CPT_TT914,0.17,0.05,0,0,
DATA,CPT_TT914,0.18,0.04,0,0,
DATA,CPT_TT914,0.19,0.05,0,0,
DATA,CPT_TT914,0.2,0.06,0.001,0,
DATA,CPT_TT914,0.21,0.06,0.001,0,
DATA,CPT_TT914,0.22,0.08,0.001,0,
DATA,CPT_TT914,0.23,0.09,0.001,0,
DATA,CPT_TT914,0.24,0.16,0.001,0,
DATA,CPT_TT914,0.25,0.19,0.001,0,
DATA,CPT_TT914,0.26,0.2,0.001,0,
DATA,CPT_TT914,0.27,0.23,0.001,0,
DATA,CPT_TT914,0.28,0.24,0.001,0,
DATA,CPT_TT914,0.29,0.25,0.001,0,
DATA,CPT_TT914,0.3,0.24,0.001,0,
DATA,CPT_TT914,0.31,0.24,0.001,0,
DATA,CPT_TT914,0.32,0.25,0.001,0,
DATA,CPT_TT914,0.33,0.26,0.001,0,
