GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,BH_4945,-43.47920883,172.7100908,HDPH,,19.95,5/07/2012,2012-05-07,
DATA,CPT_26000,-43.47843382,172.710421,SCPG,4.99,20,24/04/2013,24/04/2013,
DATA,CPT_26009,-43.47839135,172.7106475,SCPG,5.01,20,24/04/2013,24/04/2013,
DATA,CPT_26011,-43.47858625,172.7107025,SCPG,4.62,20,17/04/2013,17/04/2013,
DATA,CPT_26020,-43.47862994,172.7109213,SCPG,4.61,20,18/04/2013,18/04/2013,
DATA,CPT_40592,-43.47876972,172.7098701,SCPG,,20,3/06/2014,3/06/2014,
DATA,CPT_44806,-43.47876847,172.7112879,SCPG,,20.13,11/12/2013,11/12/2013,
DATA,CPT_55192,-43.47944184,172.7106173,SCPG,,20.22,16/04/2014,16/04/2014,
DATA,CPT_TT914,-43.47888547,172.7109618,SCPG,4.13,26.61,7-Jun-11,8-Jun-11,
DATA,CPT_TT2724,-43.47914583,172.7099835,SCPG,3.66,20,2-Jul-12,2-Jul-12,
