GROUP,ISPT
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM
UNIT,,m,cm,,%,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X
DATA,BH_11628,1.5,30,5,85.4,,,
DATA,BH_11628,10.5,30,20,85.4,,,
DATA,BH_11628,12,30,19,85.4,,,
DATA,BH_11628,13.5,30,15,85.4,,,
DATA,BH_11628,15,30,17,85.4,,,
DATA,BH_11628,16.5,30,27,85.4,,,
DATA,BH_11628,18,30,14,85.4,,,
DATA,BH_11628,19.5,30,15,85.4,,,
DATA,BH_11628,3,30,14,85.4,,,
DATA,BH_11628,4.5,30,15,85.4,,,
DATA,BH_11628,6,30,18,85.4,,,
DATA,BH_11628,7.5,30,20,85.4,,,
DATA,BH_11628,9,30,15,85.4,,,
