GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_29666,0.01,0.28,0.011,0.0009,
DATA,CPT_29666,0.02,0.35,0.012,0.0009,
DATA,CPT_29666,0.03,0.64,0.015,0.0011,
DATA,CPT_29666,0.04,0.92,0.016,0.0019,
DATA,CPT_29666,0.05,1.09,0.016,0.0021,
DATA,CPT_29666,0.06,1.3,0.018,0.0023,
DATA,CPT_29666,0.07,1.4,0.019,0.0024,
DATA,CPT_29666,0.08,1.42,0.02,0.0025,
DATA,CPT_29666,0.09,1.47,0.021,0.0025,
DATA,CPT_29666,0.1,1.48,0.022,0.0025,
DATA,CPT_29666,0.11,1.5,0.023,0.0024,
DATA,CPT_29666,0.12,1.55,0.024,0.0023,
DATA,CPT_29666,0.13,1.42,0.023,0.0032,
DATA,CPT_29666,0.14,1.4,0.022,0.0026,
DATA,CPT_29666,0.15,1.38,0.021,0.0026,
DATA,CPT_29666,0.16,1.37,0.019,0.0025,
DATA,CPT_29666,0.17,1.37,0.018,0.0024,
DATA,CPT_29666,0.18,1.37,0.016,0.0024,
DATA,CPT_29666,0.19,1.38,0.016,0.0023,
DATA,CPT_29666,0.2,1.38,0.015,0.0023,
DATA,CPT_29666,0.21,1.39,0.014,0.0023,
DATA,CPT_29666,0.22,1.37,0.014,0.0023,
DATA,CPT_29666,0.23,1.35,0.014,0.0022,
DATA,CPT_29666,0.24,1.34,0.013,0.0022,
DATA,CPT_29666,0.25,1.32,0.013,0.0022,
DATA,CPT_29666,0.26,1.28,0.013,0.0022,
DATA,CPT_29666,0.27,1.25,0.012,0.0022,
DATA,CPT_29666,0.28,1.21,0.012,0.0021,
DATA,CPT_29666,0.29,1.16,0.012,0.0021,
DATA,CPT_29666,0.3,1.12,0.012,0.0021,
DATA,CPT_29666,0.31,1.07,0.013,0.002,
