GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,BH_11628,-43.52804925,172.6856633,HDPH,,19.95,19/11/2012,20/11/2012,
DATA,BH_37044,-43.52800413,172.6856264,HDPH,3.7,19.95,19/11/2012,20/11/2012,
DATA,CPT_15203,-43.52836,172.684735,SCPG,,15,8/08/2011,8/08/2011,
DATA,CPT_15206,-43.528501,172.684378,SCPG,,15,8/08/2011,2011-08-08,
DATA,CPT_15207,-43.529015,172.684522,SCPG,,15.05,8/08/2011,2011-08-08,
DATA,CPT_15210,-43.528759,172.685731,SCPG,,15,8/08/2011,2011-08-08,
DATA,CPT_15211,-43.528953,172.685658,SCPG,,15,8/08/2011,2011-08-08,
DATA,CPT_15212,-43.528234,172.685603,SCPG,,15,8/08/2011,2011-08-08,
DATA,CPT_15213,-43.528833,172.684808,SCPG,,15,8/08/2011,2011-08-08,
DATA,CPT_29665,-43.528056,172.684406,SCPG,,15,25/09/2013,25/09/2013,
DATA,CPT_29666,-43.528156,172.684539,SCPG,,12.99,25/09/2013,25/09/2013,
DATA,CPT_13929,-43.528001,172.685153,SCPG,3.54,0.5,8/02/2012,8/02/2012,
DATA,CPT_15559,-43.528001,172.685153,SCPG,3.54,10,17/01/2013,17/01/2013,
