GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT3,0.05,1.03,0.0135,-0.0043,
DATA,CPT3,0.1,4.09,0.024,-0.0046,
DATA,CPT3,0.15,4.5,0.0324,-0.0063,
DATA,CPT3,0.2,3.21,0.0351,-0.0049,
DATA,CPT3,0.25,2.98,0.0332,-0.0057,
DATA,CPT3,0.3,3,0.0304,-0.0028,
DATA,CPT3,0.35,3.27,0.0332,-0.006,
DATA,CPT3,0.4,3.3,0.0349,-0.0045,
DATA,CPT3,0.45,3.32,0.0389,-0.007,
DATA,CPT3,0.5,3.78,0.0326,-0.0033,
DATA,CPT3,0.55,4.85,0.0404,-0.0073,
DATA,CPT3,0.6,4.79,0.0575,-0.0059,
DATA,CPT3,0.65,4.15,0.075,-0.0092,
DATA,CPT3,0.7,2.58,0.0618,-0.0026,
DATA,CPT3,0.75,2.6,0.064,-0.0021,
DATA,CPT3,0.8,3.11,0.0481,-0.0162,
DATA,CPT3,0.85,2.86,0.0436,-0.0113,
DATA,CPT3,0.9,2.32,0.0346,-0.0041,
DATA,CPT3,0.95,1.8,0.0301,-0.0012,
DATA,CPT3,1,2.28,0.0258,-0.0116,
DATA,CPT3,1.05,2.07,0.0175,-0.0108,
DATA,CPT3,1.1,2.11,0.02,-0.0156,
DATA,CPT3,1.15,1.98,0.0169,-0.0185,
DATA,CPT3,1.2,1.99,0.0172,-0.0186,
DATA,CPT3,1.25,1.94,0.0152,-0.0168,
DATA,CPT3,1.3,2.48,0.0165,-0.0148,
DATA,CPT3,1.35,2.24,0.0231,-0.0212,
DATA,CPT3,1.4,1.6,0.0312,-0.0146,
DATA,CPT3,1.45,1.42,0.02,-0.0173,
DATA,CPT3,1.5,1.48,0.0236,-0.0152,
DATA,CPT3,1.55,1.18,0.0278,-0.0081,
