GROUP,ISPT
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM
UNIT,,m,cm,,%,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X
DATA,BH_4945,1.5,45,8,84.8,,,
DATA,BH_4945,3,45,11,84.8,,,
DATA,BH_4945,4.5,45,19,84.8,,,
DATA,BH_4945,6,45,17,84.8,,,
DATA,BH_4945,7.5,45,14,84.8,,,
DATA,BH_4945,9,45,18,84.8,,,
DATA,BH_4945,10.5,45,19,84.8,,,
DATA,BH_4945,12,45,27,84.8,,,
DATA,BH_4945,13.5,45,30,84.8,,,
DATA,BH_4945,15,45,25,84.8,,,
DATA,BH_4945,16.5,45,31,84.8,,,
DATA,BH_4945,18,45,39,84.8,,,
