GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_21618,0,-0.01,0,-0.001,
DATA,CPT_21618,0.01,-0.01,0,-0.001,
DATA,CPT_21618,0.02,-0.01,0,-0.001,
DATA,CPT_21618,0.03,-0.01,0,-0.001,
DATA,CPT_21618,0.04,-0.01,0,-0.001,
DATA,CPT_21618,0.05,-0.01,0,-0.001,
DATA,CPT_21618,0.06,0,0,-0.001,
DATA,CPT_21618,0.07,-0.01,0,-0.001,
DATA,CPT_21618,0.08,-0.01,0,-0.001,
DATA,CPT_21618,0.09,-0.01,0,-0.001,
DATA,CPT_21618,0.1,-0.01,0,-0.001,
DATA,CPT_21618,0.11,0,0,-0.001,
DATA,CPT_21618,0.12,-0.01,0,-0.001,
DATA,CPT_21618,0.13,0,0,-0.001,
DATA,CPT_21618,0.14,0,0,-0.001,
DATA,CPT_21618,0.15,0,0,-0.001,
DATA,CPT_21618,0.16,0,0,0,
DATA,CPT_21618,0.17,0.02,0,0,
DATA,CPT_21618,0.18,0.04,0,0,
DATA,CPT_21618,0.19,0.04,0,-0.001,
DATA,CPT_21618,0.2,0.04,0,-0.001,
DATA,CPT_21618,0.21,0.05,0,-0.001,
DATA,CPT_21618,0.22,0.05,0,-0.001,
DATA,CPT_21618,0.23,0.07,0,-0.001,
DATA,CPT_21618,0.24,0.07,0,-0.001,
DATA,CPT_21618,0.25,0.08,0,-0.001,
DATA,CPT_21618,0.26,0.08,0,-0.001,
DATA,CPT_21618,0.27,0.08,0,0,
DATA,CPT_21618,0.28,0.08,0,0,
DATA,CPT_21618,0.29,0.12,0,0,
DATA,CPT_21618,0.3,0.12,0,0,
DATA,CPT_21618,0.31,0.13,0,0,
DATA,CPT_21618,0.32,0.16,0,-0.001,
DATA,CPT_21618,0.33,0.16,0,-0.001,
