GROUP,ISPT
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM
UNIT,,m,cm,,%,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X
DATA,BH_28216,1,30,2,,,,
DATA,BH_28216,10,30,12,,,,
DATA,BH_28216,11,30,7,,,,
DATA,BH_28216,12,30,25,,,,
DATA,BH_28216,13,30,9,,,,
DATA,BH_28216,14,19,51,,,,
DATA,BH_28216,15,30,52,,,,
DATA,BH_28216,2,30,4,,,,
DATA,BH_28216,3,30,2,,,,
DATA,BH_28216,4,30,6,,,,
DATA,BH_28216,5,30,2,,,,
DATA,BH_28216,6,30,2,,,,
DATA,BH_28216,7,30,8,,,,
DATA,BH_28216,8,30,11,,,,
DATA,BH_28216,9,30,3,,,,
