GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_38110,0,0.6771,0,0.0003,
DATA,CPT_38110,0.01,1.1542,0,0.0003,
DATA,CPT_38110,0.02,1.4658,0,0.0007,
DATA,CPT_38110,0.03,1.8049,0,0.0011,
DATA,CPT_38110,0.04,2.4634,-0.0001,0.0011,
DATA,CPT_38110,0.05,2.2584,-0.0001,0.0017,
DATA,CPT_38110,0.06,3.122,-0.0002,0.0015,
DATA,CPT_38110,0.07,3.1575,-0.0005,0.0009,
DATA,CPT_38110,0.08,3.398,-0.0005,0.0003,
DATA,CPT_38110,0.09,5.4643,0.0002,0.0002,
DATA,CPT_38110,0.1,9.6206,0.001,0.0002,
DATA,CPT_38110,0.11,9.7232,0.0025,0.0001,
DATA,CPT_38110,0.12,9.319,0.0056,0.0001,
DATA,CPT_38110,0.13,9.1504,0.0118,-0.0011,
DATA,CPT_38110,0.14,8.9818,0.01,-0.0011,
DATA,CPT_38110,0.15,9.6995,0.0174,-0.0012,
DATA,CPT_38110,0.16,8.4258,0.0176,-0.0013,
DATA,CPT_38110,0.17,7.0708,0.0161,-0.0013,
DATA,CPT_38110,0.18,6.4105,0.0147,-0.0014,
DATA,CPT_38110,0.19,6.3376,0.0134,-0.0014,
DATA,CPT_38110,0.2,6.3446,0.013,-0.0014,
DATA,CPT_38110,0.21,6.3516,0.013,-0.0013,
DATA,CPT_38110,0.22,6.3368,0.0131,-0.0015,
DATA,CPT_38110,0.23,6.322,0.0133,-0.0016,
DATA,CPT_38110,0.24,6.4383,0.0137,-0.0016,
DATA,CPT_38110,0.25,6.3195,0.0135,-0.0016,
DATA,CPT_38110,0.26,6.4555,0.0134,-0.0016,
DATA,CPT_38110,0.27,6.5915,0.0125,-0.0015,
DATA,CPT_38110,0.28,6.88,0.0141,-0.0015,
