GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,BH_28216,-43.590478,172.568172,HDPH,12.78,15.45,2013-01-02,2013-01-02,
DATA,CPT_38110,-43.589527,172.569271,SCPG,,2.56,25/06/2013,25/06/2013,
DATA,CPT_38113,-43.589484,172.568926,SCPG,,4.37,25/06/2013,25/06/2013,
DATA,CPT_44459,-43.589987,172.568257,SCPG,13.97,13.72,23/10/2012,23/10/2012,
DATA,CPT_44460,-43.590146,172.56851,SCPG,12.72,2.28,23/10/2012,23/10/2012,
DATA,CPT_44461,-43.590143,172.568518,SCPG,12.72,13.44,23/10/2012,23/10/2012,
DATA,CPT_44462,-43.590219,172.568666,SCPG,12.93,15.3,23/10/2012,23/10/2012,
DATA,CPT_44551,-43.590277,172.568319,SCPG,12.56,13.74,14/03/2014,14/03/2014,
DATA,CPT_55549,-43.590217,172.569227,SCPG,,15.23,14/11/2012,14/11/2012,
