GROUP,PROJ,,,,,,,,,
HEADING,PROJ_ID,PROJ_NAME,PROJ_LAT,PROJ_LON,PROJ_ELEV,PROJ_GEOL,PROJ_REM,,,
UNIT,,,deg,deg,m,,,,,
TYPE,ID,X,5DP,5DP,0DP,X,X,,,
DATA,13,Site 80,-43.514007,172.588811,12.5,Dominantly alluvial sand and silt overbank deposits - Christchurch geology 1992,,,,
 ,,,,,,,,,,
GROUP,MAPF,,,,,,,,,
HEADING,PROJ_ID,MAPF_NAME,MAPF_DESC,FILE_NAME,,,,,,
UNIT,,,,,,,,,,
TYPE,ID,X,X,X,,,,,,
DATA,13,,,,,,,,,
 ,,,,,,,,,,
GROUP,LOCA,,,,,,,,,
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM,
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X,
DATA,BH_16410,-43.513587,172.589462,HDPH,12.77,19.95,5/11/2012,5/11/2012,,
DATA,BH_16407,-43.514228,172.588413,HDPH,12.82,19.95,4/10/2012,4/10/2012,,
DATA,BH_25379,-43.513806,172.589091,HDPH,12.33,15.83,5/03/2012,5/03/2012,,
DATA,CPT_15481,-43.513587,172.589462,SCPG,12.77,1.03,5/10/2012,5/10/2012,,
DATA,CPT_46716,-43.514395,172.589359,SCPG,,10.62015,4/09/2014,4/09/2014,,
DATA,CPT_5568,-43.514211,172.685731,SCPG,12.78,1.8,8/02/2012,8/02/2012,,
DATA,CPT_55641,-43.514,172.588772,SCPG,,13.84,25/02/2015,25/02/2015,,
DATA,CPT_71921,-43.514054,172.58903,SCPG,,3.27,24/02/2016,24/02/2016,,
,,,,,,,,,,
GROUP,EVNG,,,,,,,,,
HEADING,EVNG_ID,EVNG_NAME,EVNG_ELAT,EVNG_ELON,EVNG_DPTH,EVNG_MAG,EVNG_DTTM,EVNG_REM,,
UNIT,,,deg,deg,km,,yyyy-mmdd-hhmm,,,
TYPE,ID,X,5DP,5DP,1DP,2DP,DT,X,,
DATA,1,"Christchurch, New Zealand",-43.571,172.703,6,6.2,2011-0221-2351,,,
 ,,,,,,,,,,
GROUP,HDPH,,,,,,,,,
HEADING,LOCA_ID,HDPH_TYPE,HDPH_WAT,HDPH_CREW,HDPH_REM,,,,,
UNIT,,,m,,,,,,,
TYPE,ID,X,2DP,X,X,,,,,
DATA,BH_11628,-,-,D. Berger,,,,,,
DATA,BH_37044,WLS,-,-,,,,,,
 ,,,,,,,,,,
GROUP,SCPG,,,,,,,,,
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM,,,
UNIT,,cm2,cm/s,m,,,,,,
TYPE,ID,0DP,2DP,2DP,X,X,X,,,
DATA,CPT_15203,,,,,,,,,
DATA,CPT_15206,,,,,,,,,
DATA,CPT_15207,,,,,,,,,
DATA,CPT_15210,,,,,,,,,
DATA,CPT_15211,,,,,,,,,
DATA,CPT_15212,,,,,,,,,
DATA,CPT_15213,,,,,,,,,
DATA,CPT_29665,10,,,,,,,,
DATA,CPT_29666,10,,,,,,,,
DATA,CPT_13929,,,1,,,,,,
DATA,CPT_15559,,,3,,,,,,
 ,,,,,,,,,,
GROUP,GEOL,,,,,,,,,
HEADING,LOCA_ID,GEOL_TOP,GEOL_BASE,GEOL_GEOL,GEOL_COL,GEOL_DESC,,,,
UNIT,,m,m,,,,,,,
TYPE,ID,2DP,2DP,X,X,X,,,,
DATA,BH_11628,0,0.01,,,ASPHALT,,,,
DATA,BH_11628,0.01,0.9,,,GRAVEL FILL,,,,
DATA,BH_11628,0.9,19.5,,,Fine light brown SAND,,,,
DATA,BH_11628,19.5,19.95,,,,,,,
DATA,BH_37044,0,0.9,,,Roading aggregate; fine to coarse.,,,,
DATA,BH_37044,0.9,2,,,Fine to medium SAND of alluvial overbank deposits; grey.,,,,
DATA,BH_37044,2,19.95,,,"Fine to coarse SAND of dune and beach deposits, with local trace organics.",,,,
 ,,,,,,,,,,
GROUP,DETL,,,,,,,,,
HEADING,LOCA_ID,DETL_DPTH,DETL_DESC,,,,,,,
UNIT,,m,,,,,,,,
TYPE,ID,2DP,X,,,,,,,
DATA,BH_11628,1.5,-1.50m; grey with depth,,,,,,,
DATA,BH_37044,1.5,Grades to loose.,,,,,,,
DATA,BH_37044,10.4,CORE LOSS,,,,,,,
DATA,BH_37044,11.85,CORE LOSS,,,,,,,
DATA,BH_37044,16.3,CORE LOSS,,,,,,,
DATA,BH_37044,18.8,CORE LOSS,,,,,,,
DATA,BH_37044,2,"Fine to medium SAND with trace organics (bark, rootlets); grey.",,,,,,,
DATA,BH_37044,3,Grades to nil organics. Medium dense.,,,,,,,
DATA,BH_37044,5.45,Lens of sandy SILT.,,,,,,,
DATA,BH_37044,5.55,Sand grades fine to coarse.,,,,,,,
DATA,BH_37044,5.85,CORE LOSS,,,,,,,
DATA,BH_37044,6,Grades to fine to medium SAND with trace peat. Grey spotted with brown.,,,,,,,
DATA,BH_37044,7.4,CORE LOSS,,,,,,,
DATA,BH_37044,8.9,CORE LOSS,,,,,,,
,,,,,,,,,,
GROUP,ISPT,,,,,,,,,
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM,,
UNIT,,m,cm,,%,,,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X,,
DATA,BH_11628,1.5,30,5,85.4,,,,,
DATA,BH_11628,10.5,30,20,85.4,,,,,
DATA,BH_11628,12,30,19,85.4,,,,,
DATA,BH_11628,13.5,30,15,85.4,,,,,
DATA,BH_11628,15,30,17,85.4,,,,,
DATA,BH_11628,16.5,30,27,85.4,,,,,
DATA,BH_11628,18,30,14,85.4,,,,,
DATA,BH_11628,19.5,30,15,85.4,,,,,
