GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT02,0.009,0.36787,0.00394,1.071030527,
DATA,CPT02,0.033,0.98865,0.00462,0.467303899,
DATA,CPT02,0.058,0.93117,0.00548,0.588506932,
DATA,CPT02,0.082,1.04613,0.00805,0.769502834,
DATA,CPT02,0.106,1.39098,0.01113,0.800155286,
DATA,CPT02,0.13,1.9773,0.0113,0.57148637,
DATA,CPT02,0.154,2.70153,0.01764,0.652963321,
DATA,CPT02,0.178,3.25328,0.0209,0.642428564,
DATA,CPT02,0.202,3.37973,0.02672,0.790595698,
DATA,CPT02,0.227,3.80508,0.03991,1.048860996,
DATA,CPT02,0.248,5.05815,0.05738,1.134406848,
DATA,CPT02,0.271,5.37999,0.0531,0.986990682,
DATA,CPT02,0.294,4.36839,0.04847,1.109562104,
DATA,CPT02,0.319,3.42576,0.04334,1.265120732,
DATA,CPT02,0.343,3.54071,0.04248,1.19975937,
DATA,CPT02,0.367,3.2878,0.03957,1.203540361,
DATA,CPT02,0.391,3.00042,0.0322,1.073183088,
DATA,CPT02,0.416,2.90842,0.03237,1.11297543,
DATA,CPT02,0.44,2.85095,0.03152,1.10559638,
DATA,CPT02,0.464,2.81648,0.02998,1.064449242,
DATA,CPT02,0.488,2.69002,0.02775,1.031590843,
DATA,CPT02,0.512,2.48308,0.01918,0.772427791,
DATA,CPT02,0.535,2.17269,0.0221,1.017172261,
DATA,CPT02,0.559,2.14973,0.02484,1.155493946,
DATA,CPT02,0.586,1.9773,0.02604,1.316947352,
DATA,CPT02,0.609,2.31065,0.02741,1.186246294,
DATA,CPT02,0.634,2.33366,0.02518,1.078991798,
DATA,CPT02,0.657,2.48308,0.02552,1.027755852,
DATA,CPT02,0.68,2.54055,0.02398,0.943890103,
DATA,CPT02,0.703,2.58652,0.0233,0.900824274,
