GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,SPT01,35.637925,139.93356,HDPH,,15.45,2014-06-09,2014-06-09,
DATA,CPT01,35.636922,139.932152,SCPG,,15.03,2014-06-09,2014-06-09,
DATA,CPT02,35.63802,139.933517,SCPG,,15.1,2014-06-09,2014-06-09,
DATA,CPT03,35.637925,139.93356,SCPG,,15,2014-06-08,2014-06-08,
DATA,CPT04,35.640294,139.938279,SCPG,,15,2014-06-08,2014-06-08,
DATA,SASW01,35.636922,139.932152,GPVS,,21,2015-07-13,2015-07-13,
DATA,SASW02,35.63802,139.933517,GPVS,,21,2015-07-13,2015-07-13,
DATA,SASW03,35.637925,139.93356,GPVS,,21,2015-07-13,2015-07-13,
DATA,SASW04,35.640294,139.938279,GPVS,,21,2015-07-13,2015-07-13,
