GROUP,ISPT
HEADING,LOCA_ID,ISPT_TOP,ISPT_TPEN,ISPT_NVAL,ISPT_ERAT,ISPT_MECH,ISPT_METH,ISPT_REM
UNIT,,m,cm,,%,,,
TYPE,ID,2DP,1DP,0DP,0DP,X,X,X
DATA,SPT01,1.15,30,6,80.5,Semi-automatic,"JIS A 1219",
DATA,SPT01,2.15,30,1,53,Semi-automatic,"JIS A 1219",
DATA,SPT01,3.15,30,2,54,Semi-automatic,"JIS A 1219",
DATA,SPT01,4.15,30,3,68.2,Semi-automatic,"JIS A 1219",
DATA,SPT01,5.15,30,1,,Semi-automatic,"JIS A 1219",
DATA,SPT01,6.15,30,1,,Semi-automatic,"JIS A 1219",
DATA,SPT01,7.15,30,0,,Semi-automatic,"JIS A 1219",
DATA,SPT01,8.15,30,0,,Semi-automatic,"JIS A 1219",
DATA,SPT01,9.15,30,18,74.2,Semi-automatic,"JIS A 1219",
DATA,SPT01,10.15,30,17,77.5,Semi-automatic,"JIS A 1219",
DATA,SPT01,11.15,30,6,81.4,Semi-automatic,"JIS A 1219",
DATA,SPT01,12.15,30,4,82.7,Semi-automatic,"JIS A 1219",
DATA,SPT01,13.15,30,11,77.4,Semi-automatic,"JIS A 1219",
DATA,SPT01,14.15,30,33,79.6,Semi-automatic,"JIS A 1219",
DATA,SPT01,15.15,30,12,81.8,Semi-automatic,"JIS A 1219",
