GROUP,SAMP
HEADING,LOCA_ID,SAMP_ID,SAMP_TYPE,SAMP_TOP,SAMP_BASE,SAMP_SDIA,SAMP_DTIM,SAMP_DESC,SAMP_REM
UNIT,,,,m,m,mm,yyyy-mm-dd,,
TYPE,ID,ID,X,2DP,2DP,1DP,DT,X,X
DATA,SPT01,SPT-1,Split-barrel,1.15,1.45,100,2014-06-30,"Gravelly Silty Sand",
DATA,SPT01,SPT-2,Split-barrel,2.15,2.45,100,2014-06-30,"Gravelly Silty Sand",
DATA,SPT01,SPT-3,Split-barrel,3.15,3.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-4,Split-barrel,4.15,4.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-5,Split-barrel,5.15,5.45,100,2014-06-30,Clay,
DATA,SPT01,SPT-6,Split-barrel,6.15,6.45,100,2014-06-30,Clay,
DATA,SPT01,SPT-7,Split-barrel,7.15,7.45,100,2014-06-30,"Sandy Clay",
DATA,SPT01,SPT-8,Split-barrel,8.15,8.45,100,2014-06-30,Clay,
DATA,SPT01,SPT-9,Split-barrel,9.15,9.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-10,Split-barrel,10.15,10.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-11,Split-barrel,11.15,11.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-12,Split-barrel,12.15,12.45,100,2014-06-30,"Sandy Silt",
DATA,SPT01,SPT-13,Split-barrel,13.15,13.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-14,Split-barrel,14.15,14.45,100,2014-06-30,"Silty Sand",
DATA,SPT01,SPT-15,Split-barrel,15.15,15.45,100,2014-06-30,"Silty Sand",
