GROUP,GRAT
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,GRAT_SIZE,GRAT_PERP,GRAT_REM
UNIT,,,,mm,%,
TYPE,ID,ID,X,2DP,2DP,
DATA,SPT01,SPT-1,1,19,100,
DATA,SPT01,SPT-1,1,9.5,84.7,
DATA,SPT01,SPT-1,1,4.75,82.3,
DATA,SPT01,SPT-1,1,2,80.6,
DATA,SPT01,SPT-1,1,0.85,78.1,
DATA,SPT01,SPT-1,1,0.425,72.4,
DATA,SPT01,SPT-1,1,0.25,56.8,
DATA,SPT01,SPT-1,1,0.106,25.3,
DATA,SPT01,SPT-1,1,0.075,22.7,
DATA,SPT01,SPT-1,1,0.052,20.6,
DATA,SPT01,SPT-1,1,0.037,18.5,
DATA,SPT01,SPT-1,1,0.0235,16.4,
DATA,SPT01,SPT-1,1,0.0137,14.4,
DATA,SPT01,SPT-1,1,0.0097,12.3,
DATA,SPT01,SPT-1,1,0.0069,10.3,
DATA,SPT01,SPT-1,1,0.0035,8.2,
DATA,SPT01,SPT-1,1,0.0014,6.2,
