GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,NZGD_36420,0,0.1104,0,-0.0001,
DATA,NZGD_36420,0.01,0.1459,0,-0.0005,
DATA,NZGD_36420,0.02,0.5764,0,-0.0001,
DATA,NZGD_36420,0.03,11.86,0.0019,0.0003,
DATA,NZGD_36420,0.04,23.989,0.0037,0.053,
DATA,NZGD_36420,0.05,36.587,0.0074,0.0252,
DATA,NZGD_36420,0.06,28.574,0.0149,0.0127,
DATA,NZGD_36420,0.07,16.572,0.0213,0.0065,
DATA,NZGD_36420,0.08,13.092,0.0239,0.0003,
DATA,NZGD_36420,0.09,12.5561,0.0266,0.0003,
DATA,NZGD_36420,0.1,12.6153,0.027,0.0002,
DATA,NZGD_36420,0.11,12.6746,0.038,0.0001,
DATA,NZGD_36420,0.12,12.922,0.0426,0.0001,
DATA,NZGD_36420,0.13,21.595,0.0471,0.0001,
DATA,NZGD_36420,0.14,24.806,0.0478,0.0001,
DATA,NZGD_36420,0.15,28.566,0.0484,0.0001,
DATA,NZGD_36420,0.16,29.98,0.1386,0.0003,
DATA,NZGD_36420,0.17,30.553,0.168,0.0005,
DATA,NZGD_36420,0.18,29.115,0.1804,0.0005,
DATA,NZGD_36420,0.19,28.23,0.1878,0.0006,
DATA,NZGD_36420,0.2,25.8525,0.189,0.0007,
DATA,NZGD_36420,0.21,25.8376,0.1993,0.0011,
DATA,NZGD_36420,0.22,25.8803,0.2096,0.0011,
DATA,NZGD_36420,0.23,25.9231,0.2179,0.0011,
DATA,NZGD_36420,0.24,26.189,0.2261,0.0012,
DATA,NZGD_36420,0.25,27.227,0.2547,0.0013,
DATA,NZGD_36420,0.26,28.159,0.2604,0.0013,
DATA,NZGD_36420,0.27,28.151,0.2626,0.0015,
DATA,NZGD_36420,0.28,24.952,0.2558,0.0016,
